Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Deglutition Disorders	C0011168	CAUSES	["12355886_fullText_1"]	Myotonic Dystrophy	C0027126
Deglutition Disorders	C0011168	OCCURS_IN	["31466972_fullText_8"]	Sjogren's Syndrome	C1527336
Deglutition Disorders	C0011168	PRECEDES	["26618669_fullText_5"]	Machado-Joseph Disease	C0024408
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["38374165_fullText_2"]	Developmental regression	C1836830
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["37848650_fullText_2"]	Ataxias, Hereditary	C0004138
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["31996241_fullText_39"]	Pontoneocerebellar hypoplasia	C1261175
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["31996241_fullText_39"]	Acidosis, Lactic	C0001125
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["31996241_fullText_39"]	Encephalopathies	C0085584
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["31996241_fullText_39"]	spinal cord involvement	C0748903
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["31996241_fullText_39"]	Mitochondrial Myopathies	C0162670
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["9458170_fullText_8"]	Chondrodysplasia Punctata, Rhizomelic	C0282529
Atrophy of cerebellum	C0740279	COEXISTS_WITH	["10201039_fullText_1"]	Congenital disorder of glycosylation type 1A	C0349653
Syndrome	C0039082	COEXISTS_WITH	["19557660_fullText_3"]	Congenital heart disease	C0152021
Syndrome	C0039082	COEXISTS_WITH	["32147747_fullText_135"]	Arthrogryposis renal dysfunction cholestasis syndrome	C1859722
Syndrome	C0039082	COEXISTS_WITH	["37655412_fullText_7"]	Obesity	C0028754
Syndrome	C0039082	COEXISTS_WITH	["11930273_fullText_1"]	Dandy-Walker Syndrome	C0010964
Syndrome	C0039082	COEXISTS_WITH	["12887881_fullText_1"]	Glutaric aciduria, type 1	C0268595
Syndrome	C0039082	COEXISTS_WITH	["19760908_fullText_4"]	Epilepsies, Myoclonic	C0014550
Syndrome	C0039082	COEXISTS_WITH	["35686687_fullText_2"]	Premenstrual syndrome	C0033046
Syndrome	C0039082	COEXISTS_WITH	["28409271_fullText_1"]	Congenital Disorders	C0242354
Syndrome	C0039082	ISA	["36038457_fullText_4"]	Huntington Disease	C0020179
Syndrome	C0039082	ISA	["36038457_fullText_4"]	Parkinson Disease	C0030567
Syndrome	C0039082	AFFECTS	["32630370_fullText_27"]	Gaucher Disease	C0017205
Syndrome	C0039082	COEXISTS_WITH__SPEC__	["15811181_fullText_2"]	Congenital heart disease	C0152021
Syndrome	C0039082	COEXISTS_WITH__SPEC__	["34849584_fullText_31"]	Parkinson Disease	C0030567
Syndrome	C0039082	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Friedreich Ataxia	C0016719
Syndrome	C0039082	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Essential Tremor	C0270736
Syndrome	C0039082	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Machado-Joseph Disease	C0024408
Syndrome	C0039082	ASSOCIATED_WITH__SPEC__	["31004074_fullText_3"]	Shy-Drager Syndrome	C0037019
Syndrome	C0039082	MANIFESTATION_OF	["11988891_fullText_1"]	Myasthenias	C0947912
Ataxias, Hereditary	C0004138	COEXISTS_WITH	["34713931_fullText_1"]	Machado-Joseph Disease	C0024408
CANDIDIASIS, FAMILIAL, 1	C2751429	COEXISTS_WITH	["36244162_fullText_2","36244162_fullText_3"]	Machado-Joseph Disease	C0024408
Premenstrual syndrome	C0033046	AFFECTS	["29524476_fullText_2"]	Paroxysmal atrial fibrillation	C0235480
Alzheimer's Disease	C0002395	COEXISTS_WITH	["30106598_fullText_4"]	Corticobasal degeneration	C0393570
Alzheimer's Disease	C0002395	COEXISTS_WITH	["37681686_fullText_4"]	Gastrointestinal dysfunction	C0679407
Alzheimer's Disease	C0002395	COEXISTS_WITH	["35006557_fullText_11"]	Dementia, Vascular	C0011269
Alzheimer's Disease	C0002395	COEXISTS_WITH	["35229449_fullText_3"]	Hypertensive disease	C0020538
Alzheimer's Disease	C0002395	CAUSES	["39472629_fullText_92"]	Neurodegenerative Disorders	C0524851
Alzheimer's Disease	C0002395	ISA	["35139637_fullText_1","35695705_fullText_1","36412156_fullText_1","34273042_fullText_10","33819530_fullText_1","34217798_fullText_1","34205336_fullText_5","33930191_fullText_1","33882364_fullText_1","36754161_fullText_3","35196379_fullText_1","37011147_fullText_1","37833012_fullText_3","35630702_fullText_1","35630702_fullText_3","36296692_fullText_1","33832896_fullText_3","34354042_fullText_3","30059502_fullText_13","27030674_fullText_109"]	Neurodegenerative Disorders	C0524851
Alzheimer's Disease	C0002395	ISA	["36677616_fullText_1","35394736_fullText_2"]	Brain Diseases	C0006111
Alzheimer's Disease	C0002395	ISA	["37262057_fullText_1","36476428_fullText_1"]	Syndrome	C0039082
Alzheimer's Disease	C0002395	ISA	["33636389_fullText_1","36035218_fullText_5","33743158_fullText_6","33960203_fullText_1","37049419_fullText_10","37125532_fullText_1","34798458_fullText_8","35857260_fullText_7"]	nervous system disorder	C0027765
Alzheimer's Disease	C0002395	PRECEDES	["36152409_fullText_1"]	Secondary disease	C0277555
Alzheimer's Disease	C0002395	IS_A		Tauopathies	C0949664
Parkinson Disease	C0030567	ISA	["36038457_fullText_4"]	Syndrome	C0039082
Parkinson Disease	C0030567	ISA	["36038457_fullText_4","36152409_fullText_2"]	Movement Disorders	C0026650
Parkinson Disease	C0030567	ISA	["33743158_fullText_6","37479091_fullText_4","37802381_fullText_1","34798458_fullText_8"]	nervous system disorder	C0027765
Parkinson Disease	C0030567	ISA	["34364429_fullText_9","35394736_fullText_2"]	Brain Diseases	C0006111
Parkinson Disease	C0030567	ISA	["15354398_fullText_1"]	Extrapyramidal Disorders	C0015371
Parkinson Disease	C0030567	ISA	["15269216_fullText_2","34432259_fullText_7","34205336_fullText_5","33930191_fullText_1","36990797_fullText_8"]	Neurodegenerative Disorders	C0524851
Parkinson Disease	C0030567	AFFECTS	["36765125_fullText_3"]	Brain Diseases	C0006111
Muscular Atrophy	C0026846	COEXISTS_WITH	["2603228_fullText_1"]	multi-organ disease	C1141933
Muscular Atrophy	C0026846	COEXISTS_WITH	["888734_fullText_2"]	Neuromuscular Diseases	C0027868
Muscular Atrophy	C0026846	COEXISTS_WITH	["7935548_fullText_1","15503094_fullText_1"]	Hereditary Diseases	C0019247
Muscular Atrophy	C0026846	COEXISTS_WITH	["12610429_fullText_1"]	Myopathy	C0026848
Muscular Atrophy	C0026846	COEXISTS_WITH	["25630356_fullText_1","26092529_fullText_121"]	Muscular Dystrophy	C0026850
Muscular Atrophy	C0026846	COEXISTS_WITH	["739270_fullText_1","2431651_fullText_1","4010942_fullText_1","8239562_fullText_9","25496057_fullText_1","21404300_fullText_1"]	Myotonic Dystrophy	C0027126
