Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Glutaric aciduria, type 1	C0268595	PRODUCES	["20032085_fullText_1"]	Lysine	C0024337
Glutaric aciduria, type 1	C0268595	IS_TREATED	["8300996_fullText_7"]	Lysine	C0024337
Leigh Disease	C0023264	IS_TREATED	["19349200_fullText_3"]	Lysine	C0024337
Glutaric aciduria, type 1	C0268595	IS_TREATED	["15505398_fullText_1","22520952_fullText_10"]	Lysine	C0024337
Phenylketonurias	C0031485	IS_TREATED	["16091306_fullText_1"]	Basis	C1874451
Machado-Joseph Disease	C0024408	IS_TREATED	["9562258_fullText_4"]	Basis	C1874451
Congenital Disorders	C0242354	IS_TREATED	["35810431_fullText_1","35810430_fullText_1"]	Basis	C1874451
Cytochrome-c Oxidase Deficiency	C0268237	IS_TREATED	["2540452_fullText_7"]	Basis	C1874451
Asthma, Exercise-Induced	C0004099	IS_TREATED	["35787178_fullText_6"]	Basis	C1874451
Myopathy in myasthenia gravis	C0393946	IS_TREATED	["30824560_fullText_1"]	Basis	C1874451
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["35810427_fullText_1"]	Basis	C1874451
Glutaric aciduria, type 1	C0268595	IS_TREATED	["21431622_fullText_213"]	Basis	C1874451
Sepsis-Associated Encephalopathy	C0393642	IS_TREATED	["36813621_fullText_7"]	Basis	C1874451
Alzheimer's Disease	C0002395	IS_TREATED	["35289363_fullText_6"]	Basis	C1874451
Deficiency Diseases	C0011156	IS_TREATED	["36292934_fullText_10"]	Basis	C1874451
Exotropia	C0015310	IS_TREATED	["26306823_fullText_13"]	Basis	C1874451
brain dysfunction	C0262405	IS_TREATED	["12561056_fullText_3"]	Basis	C1874451
Amenorrhea	C0002453	IS_TREATED	["7243128_fullText_2"]	Basis	C1874451
Phenylketonurias	C0031485	IS_TREATED	["33198547_fullText_1","16006165_fullText_39","2576129_fullText_3"]	Basis	C1874451
Machado-Joseph Disease	C0024408	IS_TREATED	["10855623_fullText_7"]	Dopamine Hydrochloride	C0282151
Primary disease	C0277554	IS_TREATED	["37147851_fullText_5"]	Dopamine Hydrochloride	C0282151
Parkinson Disease	C0030567	IS_TREATED	["37741697_fullText_1","37147851_fullText_5"]	Dopamine Hydrochloride	C0282151
Machado-Joseph Disease	C0024408	IS_TREATED	["34878314_fullText_7"]	Dopamine	C0013030
Parkinson Disease	C0030567	IS_TREATED	["35485491_fullText_1"]	Dopamine	C0013030
Phenylketonurias	C0031485	IS_TREATED	["25466353_fullText_3","25466353_fullText_7","22107842_fullText_6","15024549_fullText_4"]	Dopamine	C0013030
Phenylketonurias	C0031485	IS_TREATED	["17725999_fullText_2","10097991_fullText_4"]	Dopamine	C0013030
Parkinsonian Disorders	C0242422	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Parkinson Disease	C0030567	IS_TREATED	["34162160_fullText_3"]	Dopamine Agonists	C0178601
Hyperglycemia	C0020456	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Hyperprolactinemia	C0020514	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Hyperprolactinemia	C0020514	IS_TREATED	["34137053_fullText_12"]	Dopamine Agonists	C0178601
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["26515614_fullText_1"]	Dopamine Agonists	C0178601
Ovarian Hyperstimulation Syndrome	C0085083	IS_TREATED	["33851429_fullText_2","33851429_fullText_3"]	Dopamine Agonists	C0178601
Hypogonadism	C0020619	IS_TREATED	["35793046_fullText_2"]	Dopamine Agonists	C0178601
nervous system disorder	C0027765	IS_TREATED	["35486279_fullText_4"]	Dopamine Agonists	C0178601
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["37686060_fullText_11"]	Dopamine Agonists	C0178601
Parkinson Disease	C0030567	IS_TREATED	["37600497_fullText_1"]	Dopamine Agonists	C0178601
Restless Legs Syndrome	C0035258	IS_TREATED	["34032164_fullText_4","36611111_fullText_2"]	Dopamine Agonists	C0178601
CATARACT 4, MULTIPLE TYPES	C3540850	PRODUCES	["35347385_fullText_2"]	Catecholamines	C0007412
Phenylketonuria II	C0268465	IS_TREATED	["7760062_fullText_1"]	Catecholamines	C0007412
Myotonic Dystrophy	C0027126	IS_TREATED	["7080773_fullText_7"]	Catecholamines	C0007412
Pelizaeus-Merzbacher Disease	C0205711	IS_TREATED	["7080773_fullText_7"]	Catecholamines	C0007412
Phenylketonurias	C0031485	IS_TREATED	["15292337_fullText_8"]	Catecholamines	C0007412
Diabetes	C0011847	IS_TREATED	["36538602_fullText_9"]	Catecholamines	C0007412
Parkinson Disease	C0030567	IS_TREATED	["35150767_fullText_2","36729395_fullText_1"]	Levodopa	C0023570
Phenylketonuria II	C0268465	IS_TREATED	["7760062_fullText_1"]	Levodopa	C0023570
Phenylketonurias	C0031485	IS_TREATED	["3797105_fullText_3","6859941_fullText_1"]	Levodopa	C0023570
Neuropathy	C0442874	IS_TREATED	["34852233_fullText_4"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["36831967_fullText_2"]	Levodopa	C0023570
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["16767663_fullText_11","11916314_fullText_5"]	Levodopa	C0023570
Abnormal involuntary movement	C0392702	IS_TREATED	["34474045_fullText_5"]	Levodopa	C0023570
Phenylketonurias	C0031485	IS_TREATED	["22447154_fullText_7"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["33998548_fullText_1","36990797_fullText_3","36402160_fullText_1","31615832_fullText_96"]	Levodopa	C0023570
Extrapyramidal Disorders	C0015371	IS_TREATED	["21431622_fullText_354"]	Levodopa	C0023570
Dyskinetic syndrome	C0013384	IS_TREATED	["37774703_fullText_1"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["35357463_fullText_9"]	Dopaminergic Agents	C0013036
Restless Legs Syndrome	C0035258	IS_TREATED	["34923723_fullText_1"]	Dopaminergic Agents	C0013036
Parkinson Disease	C0030567	IS_TREATED	["35357463_fullText_2","37192341_fullText_1","36350356_fullText_2"]	Dopaminergic Agents	C0013036
nervous system disorder	C0027765	IS_TREATED	["36611111_fullText_1"]	Dopaminergic Agents	C0013036
Lingual-Facial-Buccal Dyskinesia	C0152115	IS_TREATED	["37774703_fullText_1"]	Dopaminergic Agents	C0013036
Phenylketonurias	C0031485	IS_TREATED	["17185670_fullText_7"]	Inositol	C0021547
Kidney Calculi	C0022650	IS_TREATED	["37491126_fullText_2"]	Calcium	C0006675
Dystrophia myotonica 1	C2931688	IS_TREATED	["22131273_fullText_45"]	Perform	C2947996
Leigh Disease	C0023264	IS_TREATED	["2834526_fullText_3"]	Perform	C2947996
Congenital Myotonic Dystrophy	C0410226	IS_TREATED	["7546006_fullText_6"]	Choline	C0008405
Phenylketonurias	C0031485	IS_TREATED	["37516884_fullText_5"]	Choline	C0008405
Machado-Joseph Disease	C0024408	IS_TREATED	["37243335_fullText_9"]	Choline	C0008405
Mitochondrial Myopathies	C0162670	IS_TREATED	["32371897_fullText_81"]	Taurine	C0039350
Peroxisomal Disorders	C0282528	IS_TREATED	["1722438_fullText_5"]	Taurine	C0039350
Machado-Joseph Disease	C0024408	IS_TREATED	["37243335_fullText_7"]	Glutamine	C0017797
Phenylketonurias	C0031485	IS_TREATED	["32106880_fullText_10"]	Glutamine	C0017797
Glutaric aciduria, type 1	C0268595	IS_TREATED	["8300996_fullText_7"]	Tryptophan	C0041249
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_188","32357546_fullText_256"]	Tryptophan	C0041249
Phenylketonurias	C0031485	IS_TREATED	["35248901_fullText_9","16278987_fullText_7"]	Tryptophan	C0041249
Glutaric aciduria, type 1	C0268595	IS_TREATED	["15505398_fullText_1"]	Tryptophan	C0041249
Hyperphenylalaninaemia	C0751435	IS_TREATED	["9744478_fullText_2"]	Tryptophan	C0041249
Phenylketonurias	C0031485	IS_TREATED	["11562623_fullText_7"]	Tryptophan	C0041249
Leigh Disease	C0023264	IS_TREATED	["34849584_fullText_265"]	Sirolimus	C0072980
Machado-Joseph Disease	C0024408	IS_TREATED	["30760052_fullText_4"]	viral vector	C1520007
Brain Diseases	C0006111	IS_TREATED	["38732047_fullText_18"]	viral vector	C1520007
Acromegaly	C0001206	IS_TREATED	["37389718_fullText_1"]	Duration	C2926735
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34177262_fullText_1"]	Duration	C2926735
Transient Ischemic Attack	C0007787	IS_TREATED	["34039032_fullText_5"]	Duration	C2926735
Phenylketonurias	C0031485	IS_TREATED	["24952998_fullText_1","24350704_fullText_6","11043161_fullText_2"]	Duration	C2926735
Cerebrovascular accident	C0038454	IS_TREATED	["34039032_fullText_5"]	Duration	C2926735
Long Qt Syndrome 2	C3150943	IS_TREATED	["35525424_fullText_5"]	Duration	C2926735
Circadian Rhythm Disorders	C0813142	IS_TREATED	["34509822_fullText_7"]	Duration	C2926735
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34113089_fullText_3","37276335_fullText_4"]	Duration	C2926735
Phenylketonurias	C0031485	IS_TREATED	["21646032_fullText_5"]	Duration	C2926735
Phenylketonurias	C0031485	IS_TREATED	["19277893_fullText_5"]	coenzyme Q10	C0056077
Mitochondrial Diseases	C0751651	IS_TREATED	["34964562_fullText_109"]	coenzyme Q10	C0056077
Machado-Joseph Disease	C0024408	IS_TREATED	["36079853_fullText_7"]	coenzyme Q10	C0056077
Neurodegenerative Disorders	C0524851	IS_TREATED	["36079853_fullText_1"]	coenzyme Q10	C0056077
Machado-Joseph Disease	C0024408	IS_TREATED	["36079853_fullText_9"]	coenzyme Q10	C0056077
Phenylketonurias	C0031485	IS_TREATED	["23657560_fullText_9","12571675_fullText_6"]	Antioxidants	C0003402
Machado-Joseph Disease	C0024408	IS_TREATED	["36079853_fullText_7"]	Antioxidants	C0003402
Leigh syndrome , French Canadian type	C1857355	IS_TREATED	["25835550_fullText_174"]	Antioxidants	C0003402
Phenylketonurias	C0031485	IS_TREATED	["15573314_fullText_3"]	Antioxidants	C0003402
Autoimmune Diseases	C0004364	IS_TREATED	["36094856_fullText_9"]	Antioxidants	C0003402
Mitochondrial Diseases	C0751651	IS_TREATED	["25620325_fullText_7"]	Antioxidants	C0003402
Neurodegenerative Disorders	C0524851	IS_TREATED	["36079853_fullText_1"]	Antioxidants	C0003402
Myotonic Dystrophy	C0027126	IS_TREATED	["8942293_fullText_9"]	Program	C2728259
Dystrophia myotonica 1	C2931688	IS_TREATED	["21670942_fullText_5"]	Program	C2728259
Phenylketonurias	C0031485	IS_TREATED	["29653686_fullText_10"]	Program	C2728259
Hyperphenylalaninaemia	C0751435	IS_TREATED	["1566767_fullText_2"]	Program	C2728259
Coronary Arteriosclerosis	C0010054	IS_TREATED	["34212768_fullText_3"]	Program	C2728259
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["25726095_fullText_5"]	Program	C2728259
Machado-Joseph Disease	C0024408	IS_TREATED	["33544709_fullText_10"]	Program	C2728259
Metabolic Diseases	C0025517	IS_TREATED	["5580751_fullText_1"]	Program	C2728259
Histidinemia	C0220992	IS_TREATED	["6468444_fullText_1"]	Program	C2728259
Machado-Joseph Disease	C0024408	IS_TREATED	["15692194_fullText_1"]	Program	C2728259
Deficiency of glucose-6-phosphate dehydrogenase	C2939465	IS_TREATED	["1824550_fullText_1"]	Program	C2728259
Phenylketonurias	C0031485	IS_TREATED	["36495999_fullText_1","36495999_fullText_6","35328070_fullText_2","25725765_fullText_3","25725765_fullText_6","25725765_fullText_7","25725765_fullText_11","21043542_fullText_2","21043542_fullText_5","20683669_fullText_2","19768570_fullText_2","19768570_fullText_7","19842439_fullText_1","17616847_fullText_3","17603758_fullText_3","16984060_fullText_3","16984060_fullText_5","15320931_fullText_8","15088800_fullText_3","9894828_fullText_1","7900109_fullText_2","2152214_fullText_1","6468444_fullText_1","5652755_fullText_10"]	Program	C2728259
Usher Syndrome, Type I	C1568247	IS_TREATED	["21043542_fullText_4"]	Program	C2728259
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35480556_fullText_1"]	Program	C2728259
Galactosemias	C0016952	IS_TREATED	["6468444_fullText_1"]	Program	C2728259
Homocystinuria	C0019880	IS_TREATED	["6468444_fullText_1"]	Program	C2728259
Glutaric aciduria, type 1	C0268595	IS_TREATED	["24135440_fullText_109"]	Program	C2728259
Chronic active hepatitis	C0520463	IS_TREATED	["23896802_fullText_1"]	Program	C2728259
Animal Diseases	C0003047	IS_TREATED	["34995166_fullText_5"]	Program	C2728259
Hyperphenylalaninaemia	C0751435	IS_TREATED	["24803483_fullText_1","7259843_fullText_4"]	Program	C2728259
Maple Syrup Urine Disease	C0024776	IS_TREATED	["6468444_fullText_1"]	Program	C2728259
Congenital Hypothyroidism	C0010308	IS_TREATED	["36495999_fullText_6","20683669_fullText_2","7900109_fullText_2"]	Program	C2728259
Encephalopathies	C0085584	IS_TREATED	["35872650_fullText_130"]	Mediator brand of benfluorex hydrochloride	C0127400
Hyperphenylalaninaemia	C0751435	IS_TREATED	["20495959_fullText_6"]	Mediator brand of benfluorex hydrochloride	C0127400
Isaacs syndrome	C0242287	IS_TREATED	["1676468_fullText_2"]	Mediator brand of benfluorex hydrochloride	C0127400
Phenylketonurias	C0031485	IS_TREATED	["29270710_fullText_7"]	Level	C2946261
nervous system disorder	C0027765	IS_TREATED	["36449401_fullText_1"]	Level	C2946261
Respiration Disorders	C0035204	IS_TREATED	["30425197_fullText_9"]	diazonaphthalenedisulfonic acid	C0057753
Hyperphenylalaninaemia	C0751435	IS_TREATED	["12499992_fullText_3"]	animal allergen extracts	C3540698
Atrial Fibrillation	C0004238	IS_TREATED	["34874604_fullText_1"]	animal allergen extracts	C3540698
Tachycardia, Ventricular	C0042514	IS_TREATED	["34874604_fullText_1"]	animal allergen extracts	C3540698
Painful Bladder Syndrome	C1720830	IS_TREATED	["34582961_fullText_4"]	animal allergen extracts	C3540698
Nail-Patella Syndrome	C0027341	IS_TREATED	["36442615_fullText_4"]	animal allergen extracts	C3540698
Phenylketonurias	C0031485	IS_TREATED	["6538525_fullText_2"]	animal allergen extracts	C3540698
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_91"]	calpastatin	C0054534
Parkinson Disease	C0030567	IS_TREATED	["35485491_fullText_4"]	Metric	C0699680
Parkinson Disease	C0030567	IS_TREATED	["36597786_fullText_2"]	Metric	C0699680
Phenylketonurias	C0031485	IS_TREATED	["33461111_fullText_5"]	Metric	C0699680
Papillon-Lefevre Disease	C0030360	IS_TREATED	["33477953_fullText_167"]	Metric	C0699680
Painful Bladder Syndrome	C1720830	IS_TREATED	["30388443_fullText_237"]	Ethanol	C0001962
Superior Oblique Myokymia	C0423092	IS_TREATED	["3492476_fullText_14"]	Carbamazepine	C0006949
Non-Convulsive Status Epilepticus	C0751523	IS_TREATED	["30029642_fullText_25"]	Carbamazepine	C0006949
Neurodegenerative Disorders	C0524851	IS_TREATED	["37068881_fullText_7"]	Calcium ion	C0596235
Phenylketonurias	C0031485	IS_TREATED	["29270710_fullText_7","23612646_fullText_4","1591861_fullText_4"]	3,4-Methylenedioxyamphetamine	C0000379
Phenylketonurias	C0031485	IS_TREATED	["25256805_fullText_3"]	3,4-Methylenedioxyamphetamine	C0000379
nervous system disorder	C0027765	IS_TREATED	["36982951_fullText_6"]	Therapeutic brand of coal tar	C0723712
Neurodegenerative Disorders	C0524851	IS_TREATED	["33930191_fullText_9"]	Therapeutic brand of coal tar	C0723712
Cardiovascular Diseases	C0007222	IS_TREATED	["37739804_fullText_3"]	Therapeutic brand of coal tar	C0723712
Parkinson Disease	C0030567	IS_TREATED	["35831620_fullText_5"]	Therapeutic brand of coal tar	C0723712
Rare Diseases	C0678236	IS_TREATED	["35955863_fullText_76"]	Therapeutic brand of coal tar	C0723712
Alzheimer's Disease	C0002395	IS_TREATED	["37634747_fullText_12"]	Therapeutic brand of coal tar	C0723712
Mitochondrial Diseases	C0751651	IS_TREATED	["34571904_fullText_5"]	Therapeutic brand of coal tar	C0723712
Epilepsy	C0014544	IS_TREATED	["32357546_fullText_49"]	Histone deacetylase inhibitor	C1512474
Machado-Joseph Disease	C0024408	IS_TREATED	["34416891_fullText_8"]	Sodium Valproate	C0037567
Neurodegenerative Disorders	C0524851	IS_TREATED	["34416891_fullText_8"]	Sodium Valproate	C0037567
Movement Disorders	C0026650	IS_TREATED	["21431622_fullText_352"]	Valproate	C0080356
Machado-Joseph Disease	C0024408	IS_TREATED	["27165717_fullText_75"]	resveratrol	C0073096
Friedreich Ataxia	C0016719	IS_TREATED	["32357546_fullText_127","32357546_fullText_129"]	resveratrol	C0073096
Neurodegenerative Disorders	C0524851	IS_TREATED	["34416891_fullText_8"]	resveratrol	C0073096
Hypertensive disease	C0020538	IS_TREATED	["36235829_fullText_8"]	resveratrol	C0073096
Machado-Joseph Disease	C0024408	IS_TREATED	["34416891_fullText_8"]	resveratrol	C0073096
Syndrome	C0039082	IS_TREATED	["22038543_fullText_64"]	other medicated shampoos in ATC	C3539125
Multiple Sclerosis	C0026769	IS_TREATED	["35683024_fullText_8"]	other medicated shampoos in ATC	C3539125
Machado-Joseph Disease	C0024408	IS_TREATED	["33516872_fullText_9"]	Befiradol	C2825610
Central nervous system depression (disorder)	C0151559	IS_TREATED	["35835657_fullText_14"]	Naloxone	C0027358
Hemodynamic instability	C0948268	IS_TREATED	["35835657_fullText_14"]	Naloxone	C0027358
Asthma	C0004096	IS_TREATED	["34845963_fullText_1","35181174_fullText_4"]	Agonist	C2987634
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["36185170_fullText_1","35418750_fullText_1"]	Agonist	C2987634
Hypertensive disease	C0020538	IS_TREATED	["36029011_fullText_7"]	Agonist	C2987634
Narcolepsy	C0027404	IS_TREATED	["36758348_fullText_3"]	Agonist	C2987634
Agenesis of corpus callosum	C0175754	IS_TREATED	["34852233_fullText_5"]	Agonist	C2987634
Lung diseases	C0024115	IS_TREATED	["34494468_fullText_3"]	Agonist	C2987634
Cataplexy	C0007384	IS_TREATED	["36758348_fullText_3","36165509_fullText_1"]	Agonist	C2987634
Overactive Bladder	C0878773	IS_TREATED	["37244459_fullText_14"]	Agonist	C2987634
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34503985_fullText_1","35849317_fullText_1"]	Agonist	C2987634
Asthma	C0004096	IS_TREATED	["37376964_fullText_1"]	Agonist	C2987634
Alzheimer's Disease	C0002395	IS_TREATED	["37741687_fullText_8","37175433_fullText_2"]	Neuroprotective Agents	C0242912
Helminthiasis	C0018889	IS_TREATED	["31615832_fullText_105"]	Suppressor	C2954564
Myopathy	C0026848	IS_TREATED	["23637619_fullText_9"]	Suppressor	C2954564
Syndrome	C0039082	IS_TREATED	["37262057_fullText_1"]	rivastigmine	C0649350
Alzheimer's Disease	C0002395	IS_TREATED	["37262057_fullText_1"]	rivastigmine	C0649350
Parkinson Disease	C0030567	IS_TREATED	["37716903_fullText_4"]	rivastigmine	C0649350
Alzheimer's Disease	C0002395	IS_TREATED	["35413397_fullText_11","37716903_fullText_4"]	rivastigmine	C0649350
Neurodegenerative Disorders	C0524851	IS_TREATED	["33806197_fullText_1"]	Acetylcholinesterase Inhibitors	C0001046
Inflammatory disorder	C1290884	IS_TREATED	["33851543_fullText_1"]	Acetylcholinesterase Inhibitors	C0001046
Hypertensive disease	C0020538	IS_TREATED	["34815190_fullText_3"]	Acetylcholinesterase Inhibitors	C0001046
Neurodegenerative Disorders	C0524851	IS_TREATED	["34146704_fullText_1","37628986_fullText_3"]	Acetylcholinesterase Inhibitors	C0001046
autonomic instability	C0262385	IS_TREATED	["33884761_fullText_6"]	Acetylcholinesterase Inhibitors	C0001046
Myasthenic crisis	C0270942	IS_TREATED	["34292475_fullText_3","34292475_fullText_4"]	Acetylcholinesterase Inhibitors	C0001046
Alzheimer's Disease	C0002395	IS_TREATED	["33776997_fullText_3","34627332_fullText_4","35684298_fullText_1","35413397_fullText_1","37241886_fullText_1","35883449_fullText_2"]	Acetylcholinesterase Inhibitors	C0001046
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["32360404_fullText_5"]	Acetylcholinesterase Inhibitors	C0001046
multiple pathologies	C0679225	IS_TREATED	["34342141_fullText_1"]	Acetylcholinesterase Inhibitors	C0001046
Machado-Joseph Disease	C0024408	IS_TREATED	["32867861_fullText_114"]	Fibrinogen	C0016006
Myotonic Dystrophy	C0027126	IS_TREATED	["6673013_fullText_2"]	Fibrinogen	C0016006
Machado-Joseph Disease	C0024408	IS_TREATED	["32657894_fullText_4","30187384_fullText_2","30173407_fullText_2","30173407_fullText_11"]	Citalopram	C0008845
Chronic Kidney Diseases	C1561643	IS_TREATED	["35138266_fullText_4"]	Oxygen	C0030054
Cluster Headache	C0009088	IS_TREATED	["33888080_fullText_6"]	Oxygen	C0030054
Machado-Joseph Disease	C0024408	IS_TREATED	["31687087_fullText_6"]	daidzein	C0057090
Mitochondrial Diseases	C0751651	IS_TREATED	["38870029_fullText_44"]	Water	C0043047
Parkinson Disease	C0030567	IS_TREATED	["35485491_fullText_1"]	Water	C0043047
Hyperphenylalaninaemia	C0751435	PRODUCES	["6444271_fullText_5"]	Amino Acids	C0002520
Phenylketonurias	C0031485	IS_TREATED	["38085662_fullText_3"]	Amino Acids	C0002520
Maple Syrup Urine Disease	C0024776	IS_TREATED	["37421976_fullText_4"]	Amino Acids	C0002520
Amino Acid Metabolism, Inborn Errors	C0002514	IS_TREATED	["33540516_fullText_2"]	Amino Acids	C0002520
Phenylketonurias	C0031485	IS_TREATED	["33540516_fullText_2"]	Amino Acids	C0002520
Phenylketonurias	C0031485	IS_TREATED	["33540516_fullText_2","30504004_fullText_7","20226470_fullText_9","7268794_fullText_1","7431122_fullText_1"]	Amino Acids	C0002520
Amino Acid Metabolism, Inborn Errors	C0002514	IS_TREATED	["33540516_fullText_2"]	Amino Acids	C0002520
Phenylketonuria, Maternal	C0085547	IS_TREATED	["2122125_fullText_8"]	Amino Acids	C0002520
Machado-Joseph Disease	C0024408	IS_TREATED	["30219871_fullText_8"]	Cordycepin	C0056331
Cardiovascular Diseases	C0007222	IS_TREATED	["33735134_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Critical Illness	C0010340	IS_TREATED	["37277344_fullText_2","37277344_fullText_9"]	Selective Serotonin Reuptake Inhibitors	C0360105
Cerebrovascular accident	C0038454	IS_TREATED	["35486412_fullText_10"]	Selective Serotonin Reuptake Inhibitors	C0360105
Hypertensive disease	C0020538	IS_TREATED	["35478186_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Fibromyalgia	C0016053	IS_TREATED	["34481450_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Ocular Cicatricial Pemphigoid	C1282359	IS_TREATED	["36822597_fullText_7"]	Selective Serotonin Reuptake Inhibitors	C0360105
Dermatologic disorders	C0037274	IS_TREATED	["36203121_fullText_9"]	Selective Serotonin Reuptake Inhibitors	C0360105
Chronic inflammatory disorder	C1290886	IS_TREATED	["37683229_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
OROFACIAL CLEFT 1	C1861537	IS_TREATED	["34921828_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
Asthma	C0004096	IS_TREATED	["37641216_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Strudwick syndrome	C0700635	IS_TREATED	["37075594_fullText_7"]	Selective Serotonin Reuptake Inhibitors	C0360105
Alzheimer's Disease	C0002395	IS_TREATED	["35342093_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Porokeratosis, Palmoplantar	C0162838	IS_TREATED	["36906836_fullText_15"]	Selective Serotonin Reuptake Inhibitors	C0360105
Premenstrual syndrome	C0033046	IS_TREATED	["35686687_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34137477_fullText_9"]	Selective Serotonin Reuptake Inhibitors	C0360105
Coronary heart disease	C0010068	IS_TREATED	["36138129_fullText_4"]	Selective Serotonin Reuptake Inhibitors	C0360105
Sexual Dysfunction	C0549622	IS_TREATED	["35410653_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Muscular Dystrophy, Facioscapulohumeral	C0238288	IS_TREATED	["35944740_fullText_7"]	Selective Serotonin Reuptake Inhibitors	C0360105
Opsoclonus	C0242567	IS_TREATED	["3492476_fullText_8"]	Clonazepam	C0009011
MERRF Syndrome	C0162672	IS_TREATED	["37605213_fullText_8"]	New medications	C1718097
nervous system disorder	C0027765	IS_TREATED	["34219594_fullText_1"]	New medications	C1718097
Phenylketonurias	C0031485	IS_TREATED	["35551410_fullText_8"]	New medications	C1718097
CNS disorder	C0007682	IS_TREATED	["35470963_fullText_9"]	New medications	C1718097
Alzheimer's Disease	C0002395	IS_TREATED	["36356369_fullText_4"]	New medications	C1718097
Phenylketonurias	C0031485	IS_TREATED	["317358_fullText_2"]	Trimethoprim-Sulfamethoxazole Combination	C0041044
Machado-Joseph Disease	C0024408	IS_TREATED	["11559318_fullText_9","8748680_fullText_1"]	Trimethoprim-Sulfamethoxazole Combination	C0041044
Hyperphenylalaninaemia	C0751435	IS_TREATED	["140710_fullText_1"]	Trimethoprim-Sulfamethoxazole Combination	C0041044
Heart failure	C0018801	IS_TREATED	["33709106_fullText_1"]	Blockade	C3540676
Duodenal Ulcer	C0013295	IS_TREATED	["33931709_fullText_1"]	Blockade	C3540676
Gastroesophageal reflux disease	C0017168	IS_TREATED	["33931709_fullText_1"]	Blockade	C3540676
Myocardial Ischemia	C0151744	IS_TREATED	["34135591_fullText_3"]	Blockade	C3540676
Heart failure	C0018801	IS_TREATED	["34135591_fullText_3"]	Blockade	C3540676
Hypertensive disease	C0020538	IS_TREATED	["34135591_fullText_3"]	Blockade	C3540676
Septicemia	C0036690	IS_TREATED	["35234431_fullText_1"]	Blockade	C3540676
Pneumocystis jiroveci pneumonia	C1535939	IS_TREATED	["34822815_fullText_1"]	Blockade	C3540676
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_92"]	calpeptin	C0108192
Neurodegenerative Disorders	C0524851	IS_TREATED	["34019396_fullText_1"]	Caffeine	C0006644
Parkinson Disease	C0030567	IS_TREATED	["35790489_fullText_2"]	adenosine receptor antagonist	C0815050
endothelial dysfunction	C0856169	IS_TREATED	["35861684_fullText_1"]	adenosine receptor antagonist	C0815050
Alzheimer's Disease	C0002395	IS_TREATED	["34219594_fullText_3"]	Enzymes, hematological	C3540017
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34483208_fullText_1","33865004_fullText_4","33907393_fullText_2","37731774_fullText_3"]	Glycine	C0017890
Asthma	C0004096	IS_TREATED	["33711782_fullText_1"]	Glycine	C0017890
Irritable Bowel Syndrome	C0022104	IS_TREATED	["34047303_fullText_1"]	Drugs, Non-Prescription	C0013231
Common Cold	C0009443	IS_TREATED	["35060618_fullText_0"]	Drugs, Non-Prescription	C0013231
Machado-Joseph Disease	C0024408	IS_TREATED	["27645800_fullText_6"]	aripiprazole	C0299792
Helminthiasis	C0018889	IS_TREATED	["35406718_fullText_176"]	aripiprazole	C0299792
Mitochondrial Diseases	C0751651	IS_TREATED	["36661119_fullText_6"]	Valproic Acid	C0042291
Neurodegenerative Disorders	C0524851	IS_TREATED	["32357546_fullText_50"]	Valproic Acid	C0042291
Acute Coronary Syndrome	C0948089	IS_TREATED	["35860883_fullText_1"]	Pharmacologic Substance	C1254351
Muscular Dystrophy	C0026850	IS_TREATED	["23939629_fullText_5"]	Pharmacologic Substance	C1254351
