Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Chronic pain	C0150055	IS_TREATED	["34695720_fullText_1"]	Marihuana	C0024808
Dermatologic disorders	C0037274	IS_TREATED	["35628241_fullText_8","37699631_fullText_1","37699631_fullText_4"]	Marihuana	C0024808
nervous system disorder	C0027765	IS_TREATED	["37815196_fullText_1"]	Marihuana	C0024808
Movement Disorders	C0026650	IS_TREATED	["36038457_fullText_1"]	Marihuana	C0024808
motor disorder	C0221163	IS_TREATED	["33961911_fullText_6"]	Marihuana	C0024808
Chronic pain	C0150055	IS_TREATED	["36692097_fullText_8"]	Cannabis Preparation	C0939898
Heart failure	C0018801	IS_TREATED	["34364800_fullText_3"]	Mineralocorticoid Receptor Antagonists	C1579268
Heart failure	C0018801	IS_TREATED	["33781390_fullText_2","37345734_fullText_1"]	Mineralocorticoid Receptor Antagonists	C1579268
Dementia, Vascular	C0011269	IS_TREATED	["33704781_fullText_4"]	Cholinesterase Inhibitors	C0008425
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["15328566_fullText_7"]	Cholinesterase Inhibitors	C0008425
Alzheimer's Disease	C0002395	IS_TREATED	["37262057_fullText_1"]	Cholinesterase Inhibitors	C0008425
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["20157724_fullText_3"]	Cholinesterase Inhibitors	C0008425
Neurodegenerative Disorders	C0524851	IS_TREATED	["34361074_fullText_1","34047146_fullText_2"]	Cholinesterase Inhibitors	C0008425
Alzheimer's Disease	C0002395	IS_TREATED	["34130217_fullText_1","37262057_fullText_1","36696766_fullText_1","36461610_fullText_3","35635358_fullText_1"]	Cholinesterase Inhibitors	C0008425
Myasthenia Gravis	C0026896	IS_TREATED	["34865952_fullText_4"]	Cholinesterase Inhibitors	C0008425
Syndrome	C0039082	IS_TREATED	["37262057_fullText_1","37866207_fullText_1"]	Cholinesterase Inhibitors	C0008425
Atrioventricular conduction disorder	C1627362	IS_TREATED	["34817810_fullText_14"]	yohimbine	C0724441
Erectile dysfunction	C0242350	IS_TREATED	["34817810_fullText_1"]	yohimbine	C0724441
Myotonic Dystrophy	C0027126	IS_TREATED	["3441927_fullText_6"]	Hydrocortisone	C0020268
Cardiomyopathies	C0878544	IS_TREATED	["1429218_fullText_3"]	Prolactin	C0033371
Phenylketonurias	C0031485	PRODUCES	["35713742_fullText_6"]	Phenylalanine	C0031453
Hereditary Diseases	C0019247	PRODUCES	["16640195_fullText_1"]	Phenylalanine	C0031453
Phenylketonurias	C0031485	PRODUCES__SPEC__	["16640195_fullText_1"]	Phenylalanine	C0031453
Hyperphenylalaninaemia	C0751435	IS_TREATED	["19627172_fullText_3","19323589_fullText_3","18932221_fullText_2","16183315_fullText_2","11264437_fullText_7","10484807_fullText_1","2122127_fullText_1","3826953_fullText_7"]	Phenylalanine	C0031453
Phenylketonuria II	C0268465	IS_TREATED	["8222274_fullText_2"]	Phenylalanine	C0031453
Classical phenylketonuria	C0751434	IS_TREATED	["17884650_fullText_1"]	Phenylalanine	C0031453
Phenylketonurias	C0031485	IS_TREATED	["34656426_fullText_2","34656426_fullText_4","38142628_fullText_9","38068761_abstract_37","32054509_abstract_4","39388898_fullText_2","39388898_fullText_5","39059270_fullText_3","38907189_fullText_4","38351011_fullText_8","37770764_fullText_6"]	Phenylalanine	C0031453
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["19609714_fullText_5"]	Phenylalanine	C0031453
6-pyruvoyl-tetrahydropterin synthase deficiency	C0878676	IS_TREATED	["32202960_fullText_7"]	Phenylalanine	C0031453
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["19627172_fullText_4","19323589_fullText_4"]	Phenylalanine	C0031453
Phenylketonurias	C0031485	IS_TREATED	["34420302_fullText_4"]	Phenylalanine	C0031453
Fish-Eye Disease	C0342895	IS_TREATED	["6445841_fullText_1"]	Phenylalanine	C0031453
