Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
bladder symptoms	C0741548	IS_TREATED	["34346046_fullText_9"]	duloxetine	C0245561
bladder symptoms	C0741548	IS_TREATED	["35445849_fullText_1"]	mirabegron	C2983812
bladder symptoms	C0741548	IS_TREATED	["34346046_fullText_9"]	Solifenacin	C1099677
Psychological symptom	C0233397	IS_TREATED	["34334499_fullText_1"]	Antipsychotic Agents	C0040615
diabetic	C0241863	IS_TREATED	["19506327_fullText_4"]	pioglitazone	C0071097
diabetic	C0241863	IS_TREATED	["35917839_fullText_4","35917839_fullText_5"]	Insulin	C0021641
diabetic	C0241863	IS_TREATED	["2653751_fullText_3"]	Aspartame	C0003999
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_5"]	Tricyclic Antidepressive Agents	C0003290
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_6"]	Botulinum Toxins	C0006055
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_5"]	duloxetine	C0245561
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_5"]	Lidocaine	C0023660
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_5"]	gabapentin	C0060926
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_5"]	venlafaxine	C0078569
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_6"]	Tramadol	C0040610
Peripheral neuropathic pain	C0458960	IS_TREATED	["34332778_fullText_6"]	opium alkaloids and derivative combination cough suppressants	C3539957
Chronic cough	C0010201	IS_TREATED	["36464207_fullText_7"]	CE 224,535	C3251873
Chronic cough	C0010201	IS_TREATED	["35347635_fullText_1"]	Narcotic Antagonists	C0027410
Chronic cough	C0010201	IS_TREATED	["34782407_fullText_10"]	Nicotinic Agonists	C0242948
Chronic cough	C0010201	IS_TREATED	["37030486_fullText_1","37030486_fullText_7"]	tiotropium	C0213771
Acute onset pain	C0184567	IS_TREATED	["34879499_fullText_5"]	Hydroxyzine	C0020404
Acute onset pain	C0184567	IS_TREATED	["36604595_fullText_2"]	Norepinephrine	C0028351
Xerostomia	C0043352	IS_TREATED	["36625886_fullText_3"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Well adult	C0686750	IS_TREATED	["36197897_fullText_4"]	Nicotine	C0028040
Well adult	C0686750	IS_TREATED	["6674314_fullText_5"]	Phenylalanine	C0031453
Well adult	C0686750	IS_TREATED	["34116943_fullText_3"]	Sugars	C0242209
Well adult	C0686750	IS_TREATED	["36197897_fullText_4"]	Naltrexone	C0027360
Pain, Postoperative	C0030201	IS_TREATED	["34597607_fullText_1"]	dezocine	C0057626
Pain, Postoperative	C0030201	IS_TREATED	["34597607_fullText_1"]	Pentazocine	C0030873
Pain, Postoperative	C0030201	IS_TREATED	["34311244_fullText_5"]	duloxetine	C0245561
Hormone abnormality	C3263685	IS_TREATED	["34166841_fullText_1"]	Eligard	C1170247
Hormone abnormality	C3263685	IS_TREATED	["34166841_fullText_1"]	Gonadotropins	C0018061
Early repolarization	C1997354	IS_TREATED	["27854224_fullText_283"]	XEN-D0101	C3712779
Allodynia	C0458247	IS_TREATED	["34774500_fullText_11"]	agonists	C0243192
Severe asthma	C0581126	IS_TREATED	["36639823_fullText_3"]	Anti-IgE [EPC]	C2825096
