Gene	Gene_id	RELATION	PROVENANCE	Pathway	Pathway_id
NDUFB10 gene	C1417633	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
NDUFB1 gene	C1417632	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
SURF1 gene	C1420527	AFFECTS	["34716721_fullText_75"]	NADH dehydrogenase complex assembly	C1622998
NDUFA10 gene	C1417621	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
NDUFS5 gene	C1417648	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
NDUFC1 gene	C1417642	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
MT-ND2 gene	C1537990	AFFECTS	["32969598_fullText_84"]	NADH dehydrogenase complex assembly	C1622998
CNR1 gene	C1413554	AFFECTS	["36529297_fullText_11"]	neurodevelopment	C0599855
ECHS1 gene	C1414247	AFFECTS	["32013919_fullText_2","30848071_fullText_2","32013919_abstract_2"]	valine catabolic process	C1156700
CD200 gene	C1540289	AFFECTS	["25164807_fullText_0"]	Electron Transport	C0013846
IMMT gene	C1416423	AFFECTS	["31767637_fullText_10"]	Electron Transport	C0013846
MT-ND3 gene	C1537991	DISRUPTS	["38437941_fullText_4"]	ATP biosynthesis	C1157223
DDX6 gene	C0812257	AFFECTS	["24792155_fullText_101"]	ATP Hydrolysis	C1510699
LONP1 gene	C1825868	AFFECTS	["29518248_fullText_62"]	ATP Hydrolysis	C1510699
TP53 gene	C0079419	CAUSES	["39320846_fullText_119"]	Necrosis	C0027540
ATXN3 gene	C1538301	CAUSES	["39320846_fullText_119"]	Necrosis	C0027540
PARL gene	C1425398	AFFECTS	["30578322_fullText_7"]	Necrosis	C0027540
APP gene	C1364818	ASSOCIATED_WITH		Necrosis	C0027540
LGALS3 gene	C1416831	ASSOCIATED_WITH		Necrosis	C0027540
BCL2 gene	C0376515	ASSOCIATED_WITH		Necrosis	C0027540
FAS gene	C1539477	ASSOCIATED_WITH		Necrosis	C0027540
CAT gene	C1413138	ASSOCIATED_WITH		Necrosis	C0027540
CTSB gene	C1332804	ASSOCIATED_WITH		Necrosis	C0027540
TNF gene	C0812246	ASSOCIATED_WITH		Necrosis	C0027540
MGMT gene	C1334505	ASSOCIATED_WITH		Necrosis	C0027540
DMD gene	C1414083	ASSOCIATED_WITH		Necrosis	C0027540
HMGB1 gene	C1333908	ASSOCIATED_WITH		Necrosis	C0027540
FABP3 gene	C1333526	ASSOCIATED_WITH		Necrosis	C0027540
ATF4 gene	C1412617	ASSOCIATED_WITH		Necrosis	C0027540
IL17A gene	C1825592	ASSOCIATED_WITH		Necrosis	C0027540
ATG5 gene	C1825497	ASSOCIATED_WITH		Necrosis	C0027540
IFNG gene	C1334085	ASSOCIATED_WITH		Necrosis	C0027540
SOD1 gene	C1420306	ASSOCIATED_WITH		Necrosis	C0027540
IL6 gene	C1334122	ASSOCIATED_WITH		Necrosis	C0027540
AIFM1 gene	C1826618	ASSOCIATED_WITH		Necrosis	C0027540
CAST gene	C1413137	ASSOCIATED_WITH		Necrosis	C0027540
POMC gene	C1337111	ASSOCIATED_WITH		Necrosis	C0027540
KRT18 gene	C1416731	ASSOCIATED_WITH		Necrosis	C0027540
HAVCR1 gene	C1425141	ASSOCIATED_WITH		Necrosis	C0027540
IL1B gene	C1334112	ASSOCIATED_WITH		Necrosis	C0027540
SQRDL gene	C1426907	DISRUPTS	["38870029_fullText_71","38870029_fullText_75"]	cytochrome c oxidase activity	C1151057
TACO1 gene	C1824568	DISRUPTS	["32130224_fullText_40"]	cytochrome c oxidase activity	C1151057
LAMA1 gene	C1416775	AFFECTS	["34845963_fullText_1"]	Respiratory physiology	C0035245
DMPK gene	C1414085	AFFECTS	["20188867_fullText_6"]	Signal Pathways	C0037080
ACBD7 gene	C1538900	AFFECTS	["34884833_fullText_116"]	Lipid Metabolism	C0598783
MPDU1 gene	C1417235	AFFECTS	["25270028_fullText_124"]	Lipid Metabolism	C0598783
PET100 gene	C3541664	AFFECTS	["24462369_fullText_10"]	cytochrome c oxidase biogenesis	C1158940
PDSS1 gene	C1843919	AFFECTS	["25270028_fullText_10"]	Ubiquinone Biosynthesis Pathway	C1157248
NPY6R gene	C1417819	AFFECTS	["37394095_fullText_6"]	Vascular constriction (function)	C0042396
COX15 gene	C1413632	AUGMENTS	["26940873_fullText_5"]	Hydrophobic Interactions	C0678607
COX15 gene	C1413632	AFFECTS	["26940873_fullText_10"]	heme binding	C1148616
ECHS1 gene	C1414247	AFFECTS	["26081110_fullText_204"]	isoleucine metabolic process	C1156804
IMPACT gene	C1825598	AFFECTS	["1592912_fullText_3"]	Liver function	C0232741
PLCB1 gene	C1423830	AFFECTS	["28106288_fullText_6"]	Adipogenesis	C0596843
SLC27A1 gene	C1420163	AUGMENTS	["36063868_fullText_15"]	Adipogenesis	C0596843
TCF21 gene	C1420638	AUGMENTS	["34872001_fullText_9"]	Adipogenesis	C0596843
DNAJC12 gene	C1539297	AFFECTS	["37818795_fullText_2"]	Biosynthetic Pathways	C1721101
PEX13 gene	C1418474	AFFECTS	["35854306_fullText_220"]	Biosynthetic Pathways	C1721101
MMACHC gene	C1826260	DISRUPTS	["37604084_fullText_3"]	Biosynthetic Pathways	C1721101
PEX16 gene	C1418476	AFFECTS	["21826223_fullText_5"]	Protein Targeting	C1159372
CDKL5 gene	C1420484	AFFECTS	["36613509_fullText_2"]	Excitatory synaptic transmission	C0234107
P2RY12 gene	C1425330	DISRUPTS	["34601296_fullText_3"]	G-protein coupled purinergic nucleotide receptor activity	C1152760
P2RX7 gene	C1418215	DISRUPTS	["34601296_fullText_3"]	G-protein coupled purinergic nucleotide receptor activity	C1152760
NR5A2 gene	C1417839	DISRUPTS	["34058248_fullText_6"]	cholinesterase activity	C1149831
SLC35A2 gene	C1420188	AFFECTS	["31231989_fullText_60"]	brain function	C0678908
DRD4 gene	C1333254	AFFECTS	["36854793_fullText_1"]	brain function	C0678908
ATP2A1 gene	C1412637	AFFECTS	["23888875_fullText_1"]	Intracellular Signaling Process	C1516359
CACNA1S gene	C1413064	AFFECTS	["23888875_fullText_1"]	Intracellular Signaling Process	C1516359
RAPGEF3 gene	C1424450	AUGMENTS	["37452346_fullText_1"]	Receptor Signaling	C1514762
NRSN2 gene	C1826472	AFFECTS	["33723417_fullText_5"]	Receptor Signaling	C1514762
RAPGEF4 gene	C1424447	AUGMENTS	["37452346_fullText_1"]	Receptor Signaling	C1514762
IMPACT gene	C1825598	AFFECTS	["34196433_fullText_2"]	Long-Term Potentiation	C0206249
CEACAM6 gene	C1413309	AFFECTS	["34006978_fullText_5"]	Long-Term Potentiation	C0206249
GRHL3 gene	C1842259	AFFECTS	["34429141_fullText_7"]	Long-Term Potentiation	C0206249
AP5B1 gene	C3280555	AUGMENTS	["34919905_fullText_4"]	Long-Term Potentiation	C0206249
TPH1 gene	C1420870	AFFECTS	["33895170_fullText_2"]	Gastrointestinal Motility	C0017184
TBX4 wt Allele	C3813609	AFFECTS	["31954206_abstract_3"]	indole-3-glycerol-phosphate lyase activity	C2247518
PMM2 gene	C1418674	AFFECTS	["34331832_fullText_0"]	molecular recognition	C0599844
HCAR1 gene	C1415263	AFFECTS	["36409024_fullText_3"]	glycogen metabolic process	C0599784
ERN1 gene	C1414444	AUGMENTS	["21737679_fullText_105","21737679_fullText_106"]	Glycogenolysis	C0596624
ERN1 gene	C1414444	AFFECTS	["21737679_fullText_96","21737679_fullText_161"]	Glycogenolysis	C0596624
HCAR1 gene	C1415263	AFFECTS	["36409024_fullText_7"]	Glycogenolysis	C0596624
SLC6A4 gene	C1420214	DISRUPTS	["35662341_fullText_2","34181363_fullText_3"]	5-hydroxytryptamine uptake	C1621749
IMPACT gene	C1825598	AFFECTS	["35583623_fullText_6"]	5-hydroxytryptamine uptake	C1621749
SLC6A3 wt Allele	C3813713	AUGMENTS	["34361040_fullText_8"]	Inhibitory potential	C0234122
ACE gene	C1413931	DISRUPTS	["35357374_fullText_5"]	acetylcholinesterase activity	C1149827
P2RY13 gene	C1538559	AUGMENTS	["32357546_fullText_224"]	phosphoglycerate dehydrogenase activity	C1151254
HIF1A wt Allele	C1704838	AFFECTS	["36443270_fullText_2"]	Angiogenic Process	C0302600
SAMD4A gene	C1826968	AFFECTS	["34739183_fullText_3"]	Angiogenic Process	C0302600
