Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Antidepressive Agents	C0003289	CAUSES	["36853797_fullText_1"]	Perceived quality of life	C0518214
Antidepressive Agents	C0003289	AFFECTS	["35272493_fullText_4"]	Prospective, NOS	C3846446
Antidepressive Agents	C0003289	AFFECTS	["36374097_fullText_16"]	Outcome of Therapy	C1518681
Antidepressive Agents	C0003289	AFFECTS	["34096973_fullText_9"]	Lacrimation	C0423153
Antidepressive Agents	C0003289	INHIBITS	["34405666_fullText_3"]	Suicide	C0038661
Antidepressive Agents	C0003289	PREVENTS	["36999619_fullText_15","34029378_fullText_10","34029378_fullText_17","34029378_fullText_18"]	Depressive Symptoms	C0086132
Antidepressive Agents	C0003289	AUGMENTS__SPEC__	["36625096_fullText_7"]	consideration	C0518609
Botulinum Toxin Type A	C0006050	INHIBITS	["34822601_fullText_2"]	SKIN OILINESS	C0241135
Gold	C0018026	AUGMENTS	["26501102_fullText_53"]	Redness	C0332575
monoamine	C0599682	AUGMENTS	["37838337_fullText_6"]	Excitability	C0235169
Adrenergic beta-Antagonists	C0001645	CAUSES	["35593361_fullText_6"]	Hypotension	C0020649
Adrenergic beta-Antagonists	C0001645	AFFECTS	["35686862_fullText_6"]	Rhythm	C0871269
Adrenergic beta-Antagonists	C0001645	AFFECTS	["35686862_fullText_6"]	Chronotropic incompetence	C1997984
Adrenergic beta-Antagonists	C0001645	INHIBITS	["36897269_fullText_6"]	Decompensation	C0231187
Adrenergic beta-Antagonists	C0001645	INHIBITS	["35202021_fullText_1","35202021_fullText_7"]	Cardiovascular event	C1320716
Adrenergic beta-Antagonists	C0001645	AUGMENTS	["34351426_fullText_1"]	ST segment	C0429029
Adrenergic beta-Antagonists	C0001645	AUGMENTS	["33901249_fullText_3"]	5 mm	C3840882
Nicotine	C0028040	CAUSES	["34618202_fullText_4"]	REACTION TIME DECREASED	C0542189
Nicotine	C0028040	AFFECTS	["37857771_fullText_7"]	Systemic arterial pressure	C1272641
Nicotine	C0028040	AFFECTS	["36126221_fullText_2"]	Protection	C1545588
Nicotine	C0028040	AFFECTS	["35216970_fullText_14"]	Omission	C3845736
Nicotine	C0028040	AUGMENTS	["36464098_fullText_8"]	Resting state	C0679218
Antiparkinson Agents	C0003405	PREDISPOSES	["34320022_fullText_1"]	Sleep disturbances	C0037317
