Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Neopterin	C0068527	ASSOCIATED_WITH	["7014037_fullText_3"]	Phenylketonurias	C0031485
eltoprazine	C0082384	DISRUPTS	["34229013_fullText_2"]	Dyskinetic syndrome	C0013384
Omega-3 Fatty Acids	C0015689	ASSOCIATED_WITH	["26206997_fullText_8"]	Tangier Disease	C0039292
Calcineurin inhibitor	C1562036	COMPLICATES	["29390978_fullText_41"]	nervous system disorder	C0027765
Chlorophenylalanine	C3826571	DISRUPTS	["6257849_fullText_4"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
gamma-Aminobutyric Acid-ergic Agonist [EPC]	C2917453	DISRUPTS	["35622887_fullText_7"]	Aicardi's syndrome	C0175713
ginkgolide A	C0119188	CAUSES	["36634122_fullText_9"]	Absence Epilepsy	C0014553
bilobalide	C0166479	CAUSES	["36634122_fullText_9"]	Absence Epilepsy	C0014553
Vitamin B 12	C0042845	CAUSES	["12222713_fullText_7"]	Hyperhomocysteinemia	C0598608
Vitamin A	C0042839	AUGMENTS	["12499340_fullText_6"]	Phenylketonurias	C0031485
Steroid, Systemic	C2825233	AFFECTS	["33945639_fullText_13"]	Asthma	C0004096
pyridoxine	C0034272	CAUSES	["20554659_fullText_8"]	Epilepsy	C0014544
pyridoxine	C0034272	AFFECTS	["38636407_fullText_7"]	Cyst	C0010709
pyridoxine	C0034272	ASSOCIATED_WITH	["3977296_fullText_3"]	Epilepsy	C0014544
pyridoxine	C0034272	ASSOCIATED_WITH__SPEC__	["22784480_fullText_1"]	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508
alteplase	C0032143	ASSOCIATED_WITH	["37126535_fullText_11"]	Pneumonia	C0032285
Nasal Sprays	C2608293	CAUSES	["35838014_fullText_7"]	Rhinitis	C0035455
T-2 Toxin	C0039185	CAUSES	["37553049_fullText_5","37553049_fullText_7"]	Anorexia	C0003123
Sulfonylurea Compounds	C0038766	PREDISPOSES	["36525638_fullText_7"]	Hypoglycemia	C0020615
5,6,7,8-tetrahydrofolic acid	C0048898	CAUSES	["2785251_fullText_4"]	Folic Acid Deficiency	C0016412
Phytoestrogens	C0071011	ASSOCIATED_WITH__SPEC__	["37791545_fullText_8"]	Incontinence	C0021167
regadenoson	C1698215	CAUSES	["34308528_fullText_11"]	Hemiplegic migraine	C0270862
Cholesterol Esters	C0008387	ASSOCIATED_WITH	["2079713_fullText_3"]	Type II Mucolipidosis	C0020725
Direct reacting bilirubin	C0236556	PREDISPOSES	["14561261_fullText_4"]	Neonatal disorder	C0021290
Calcium Gluconate	C0006699	PREVENTS	["35253181_fullText_4"]	Ovarian Hyperstimulation Syndrome	C0085083
Cetrotide	C0939290	PREVENTS	["35253181_fullText_6"]	Ovarian Hyperstimulation Syndrome	C0085083
Cucurbitacins	C0056582	ASSOCIATED_WITH	["35227014_fullText_3"]	Brain Diseases	C0006111
Cucurbitacins	C0056582	ASSOCIATED_WITH	["35227014_fullText_3"]	Diabetes	C0011847
Free testosterone	C0443483	AFFECTS	["8742989_fullText_1"]	Muscular Atrophy	C0026846
Alloxan	C0002151	CAUSES	["35628547_fullText_4"]	Diabetes	C0011847
3-tyramine	C0047728	CAUSES	["6872265_fullText_7"]	Phenylketonurias	C0031485
Noscapine	C0028426	AFFECTS	["34963564_fullText_5"]	Cerebrovascular accident	C0038454
Fish Oils	C0016157	ASSOCIATED_WITH__INFER__	["19214054_fullText_2"]	Phenylketonurias	C0031485
latanoprost	C0090306	AFFECTS	["35191964_fullText_8"]	Ocular Hypertension	C0028840
pembrolizumab	C3658706	ASSOCIATED_WITH	["35220182_fullText_5"]	Adult Fanconi syndrome	C0341703
glutaric acid	C0061506	CAUSES	["1775140_fullText_1"]	Glutaric aciduria, type 1	C0268595
glutaric acid	C0061506	CAUSES	["33423247_fullText_2"]	Metabolic Diseases	C0025517
glutaric acid	C0061506	PREDISPOSES	["32992790_fullText_16"]	Glutaric aciduria, type 1	C0268595
pipecolic acid	C0031951	AUGMENTS	["16151899_fullText_4"]	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508
glutarylcarnitine	C0061512	CAUSES	["33423247_fullText_2"]	Metabolic Diseases	C0025517
4-Aminohippuric Acid	C0030123	CAUSES	["38734223_fullText_1"]	Phenylketonurias	C0031485
N-Acetylneuraminic Acid	C0067762	ASSOCIATED_WITH	["36224347_fullText_0"]	Congenital Disorders	C0242354
N-Acetylneuraminic Acid	C0067762	ASSOCIATED_WITH	["6875606_fullText_7"]	Myotonic Dystrophy	C0027126
Protein C	C0033621	ASSOCIATED_WITH	["23499581_fullText_1"]	Congenital Disorders	C0242354
factor IX	C0015491	ASSOCIATED_WITH	["23499581_fullText_1"]	Congenital Disorders	C0242354
Dolichol	C0012990	CAUSES	["25270028_fullText_46"]	Congenital Disorders	C0242354
Dolichol	C0012990	ASSOCIATED_WITH	["21384228_fullText_21"]	Pituitary Diseases	C0032002
Dolichol	C0012990	ASSOCIATED_WITH	["27343064_fullText_0","25270028_fullText_3"]	Congenital Disorders	C0242354
Dolichol	C0012990	ASSOCIATED_WITH	["21384228_fullText_27"]	Neuronal Ceroid-Lipofuscinoses	C0027877
Antithrombin III	C0003438	ASSOCIATED_WITH	["22327749_fullText_96"]	Syndrome	C0039082
Antithrombin III	C0003438	ASSOCIATED_WITH	["23499581_fullText_1"]	Congenital Disorders	C0242354
Blood Coagulation Factor	C0005789	CAUSES	["11417605_fullText_5"]	Blood Coagulation Disorders	C0005779
mannose-6-phosphate	C0065688	ASSOCIATED_WITH	["9160042_fullText_3"]	Type II Mucolipidosis	C0020725
Aspartyl glucosamine	C0104427	PREDISPOSES	["33563880_fullText_6"]	CONGENITAL DISORDER OF DEGLYCOSYLATION	C3808991
3-(2-phenylethyl)-4-methylsydnone	C0047130	AFFECTS__SPEC__	["36673723_fullText_5"]	Rare Diseases	C0678236
Gangliosides	C0017082	PREDISPOSES	["30576498_fullText_8"]	Syndrome	C0039082
Gangliosides	C0017082	PREDISPOSES	["4068896_fullText_8"]	brain dysfunction	C0262405
Gangliosides	C0017082	PREVENTS	["6151489_fullText_6"]	Hyperphenylalaninaemia	C0751435
pristanic acid	C0071987	AFFECTS	["8761525_fullText_7"]	Peroxisomal Disorders	C0282528
Phytanic Acid	C0031851	AFFECTS	["8761525_fullText_7"]	Peroxisomal Disorders	C0282528
Fatty Acids, Monounsaturated	C0015687	DISRUPTS	["9799802_fullText_7"]	Adrenoleukodystrophy	C0162309
Althesin	C0002348	CAUSES	["842820_fullText_1"]	Observation of Neuromuscular Block	C0700323
Curare	C0010463	AFFECTS	["163892_fullText_4"]	Motor Neuron Disease, Lower	C0270764
Atracurium	C0004234	CAUSES	["3840383_fullText_1"]	Observation of Neuromuscular Block	C0700323
Lysophospholipids	C0024367	AFFECTS	["6875608_fullText_4"]	Muscular Dystrophy, Duchenne	C0013264
Ursodiol	C0042105	ASSOCIATED_WITH	["38227368_fullText_4"]	Gall Bladder Diseases	C0016977
Ursodiol	C0042105	ASSOCIATED_WITH	["38227368_fullText_4"]	Primary biliary cirrhosis	C0008312
Neuromuscular Nondepolarizing Agents	C0010464	PREDISPOSES	["22154451_fullText_2"]	Prolonged neuromuscular block	C0520758
Ajmaline	C0001888	CAUSES	["24943134_fullText_5"]	Sustained ventricular tachycardia	C0750197
eculizumab	C1541483	ASSOCIATED_WITH	["23945282_fullText_7"]	Myasthenia Gravis	C0026896
DDMS	C0764864	ASSOCIATED_WITH	["27390132_fullText_116"]	Painful Bladder Syndrome	C1720830
dicarboxydine	C0608070	ASSOCIATED_WITH	["31386302_fullText_108"]	Mitochondrial Diseases	C0751651
Ammonium Chloride	C0002615	ASSOCIATED_WITH	["27390132_fullText_139"]	Painful Bladder Syndrome	C1720830
Amino acid supplement	C0556082	ASSOCIATED_WITH__INFER__	["34872082_fullText_1","27612877_fullText_1"]	Phenylketonurias	C0031485
globotriaosyl lysosphingolipid	C0082711	AFFECTS	["37406430_fullText_4"]	Juvenile-Onset Vitelliform Macular Dystrophy	C2745945
galactose-1-phosphate	C0060974	ASSOCIATED_WITH	["38337708_fullText_5"]	Galactosemias	C0016952
Danio rerio egg preparation	C3486748	CAUSES	["27343064_fullText_180"]	Retinal Degeneration	C0035304
n-Acetyl mannosamine	C0301677	ASSOCIATED_WITH	["37644541_fullText_20"]	Myopathy	C0026848
n-Acetyl mannosamine	C0301677	ASSOCIATED_WITH	["37644541_fullText_20"]	Muscular Atrophy	C0026846
n-Acetyl mannosamine	C0301677	ASSOCIATED_WITH	["37644541_fullText_20"]	Muscular Dystrophy	C0026850
phenylpyruvic acid	C0031499	ASSOCIATED_WITH	["26410738_fullText_10"]	Phenylketonurias	C0031485
Sulfoglycosphingolipids	C0038727	DISRUPTS	["563642_fullText_4"]	Hyperphenylalaninaemia	C0751435
Neutral fat	C0392693	DISRUPTS	["32147747_fullText_126"]	Triglyceride storage disease with ichthyosis	C0268238
Opioid anesthetics	C3653538	CAUSES	["30301614_fullText_34"]	Respiratory Failure	C1145670
Cerebrosides	C0007805	DISRUPTS	["563642_fullText_4"]	Hyperphenylalaninaemia	C0751435
Kuvan	C1995652	AUGMENTS	["35854334_fullText_8"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Septra	C0699595	CAUSES	["2975336_fullText_2"]	Hyperphenylalaninaemia	C0751435
lonidamine	C0065175	CAUSES	["31985336_abstract_12"]	Kidney Failure, Chronic	C0022661
pegvaliase	C4519229	PREDISPOSES	["38184920_fullText_16"]	Kwashiorkor	C0022806
caseinomacropeptide	C0286762	ASSOCIATED_WITH__INFER__	["38474766_fullText_3"]	Phenylketonurias	C0031485
Phenylpyruvate	C0207636	ASSOCIATED_WITH	["11243724_fullText_6"]	Phenylketonurias	C0031485
7,8-dihydrobiopterin	C0049774	CAUSES	["6696496_fullText_1"]	Hyperphenylalaninemia, Non-Phenylketonuric	C0751436
Phenyllactate	C0095920	ASSOCIATED_WITH	["11243724_fullText_6"]	Phenylketonurias	C0031485
alpha-methylphenylalanine	C0051422	CAUSES	["2975336_fullText_2"]	Hyperphenylalaninaemia	C0751435
alpha-methylphenylalanine	C0051422	AFFECTS	["2379759_fullText_1"]	Phenylketonurias	C0031485
alpha-methylphenylalanine	C0051422	CAUSES__SPEC__	["2975336_fullText_2"]	Hyperphenylalaninaemia	C0751435
alpha-methylphenylalanine	C0051422	DISRUPTS	["6257849_fullText_1"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
arginyl-glutamine	C3657851	CAUSES	["1915502_fullText_4"]	Phenylketonurias	C0031485
Ethionine	C0015023	CAUSES	["3741696_fullText_3"]	Fatty Liver	C0015695
norfenefrine	C0068986	CAUSES	["6872265_fullText_7"]	Phenylketonurias	C0031485
leriglitazone	C5139806	CAUSES	["39231983_fullText_97"]	CNS disorder	C0007682
