Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Selective Serotonin Reuptake Inhibitors	C0360105	CAUSES	["36644883_fullText_4"]	Syndrome	C0039082
Selective Serotonin Reuptake Inhibitors	C0360105	AFFECTS	["37579130_fullText_8"]	Juvenile-Onset Vitelliform Macular Dystrophy	C2745945
Selective Serotonin Reuptake Inhibitors	C0360105	PREDISPOSES	["35109681_fullText_9"]	Ischemic stroke	C0948008
Selective Serotonin Reuptake Inhibitors	C0360105	PREDISPOSES	["33961038_fullText_11"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Selective Serotonin Reuptake Inhibitors	C0360105	AUGMENTS	["37075594_fullText_7"]	Strudwick syndrome	C0700635
Selective Serotonin Reuptake Inhibitors	C0360105	DISRUPTS	["36702372_fullText_9"]	Cerebrovascular accident	C0038454
Triglycerides	C0041004	ASSOCIATED_WITH	["35447544_fullText_5"]	Obesity	C0028754
Serotonin	C0036751	CAUSES	["14169353_fullText_2"]	Phenylketonurias	C0031485
Serotonin	C0036751	AFFECTS	["35250873_fullText_6"]	Irritable Bowel Syndrome	C0022104
Serotonin	C0036751	PREDISPOSES	["34699855_fullText_4"]	Syndrome	C0039082
Serotonin	C0036751	ASSOCIATED_WITH	["29331172_fullText_1","28284394_fullText_2","10817622_fullText_1","3148070_fullText_4","6408306_fullText_4","6112253_fullText_1"]	Phenylketonurias	C0031485
Serotonin	C0036751	ASSOCIATED_WITH	["35786007_fullText_4"]	Hypertensive disease	C0020538
Serotonin	C0036751	ASSOCIATED_WITH	["36758510_fullText_7"]	Helminthiasis	C0018889
Serotonin	C0036751	ASSOCIATED_WITH	["37326681_fullText_2"]	multiple pathologies	C0679225
Serotonin	C0036751	ASSOCIATED_WITH	["36275739_fullText_7"]	Crohn Disease	C0010346
Serotonin	C0036751	ASSOCIATED_WITH	["34004020_fullText_3"]	Urologic Diseases	C0042075
Serotonin	C0036751	PREVENTS	["35352247_fullText_3"]	Autonomic nervous system disorders	C1145628
Trimethoprim-Sulfamethoxazole Combination	C0041044	CAUSES	["317358_fullText_3"]	Phenylketonurias	C0031485
varenicline	C1569608	AFFECTS	["35451800_fullText_4"]	Dyssomnias	C0700201
Aminobutyric Acid	C0220780	AFFECTS	["35250873_fullText_6"]	Irritable Bowel Syndrome	C0022104
Blockade	C3540676	CAUSES	["39231983_fullText_91"]	nervous system disorder	C0027765
Blockade	C3540676	CAUSES	["37567458_fullText_11"]	Hyperglycemia	C0020456
Blockade	C3540676	AFFECTS	["37235594_fullText_3"]	Arteriosclerosis	C0003850
Blockade	C3540676	PREDISPOSES	["36538602_fullText_8"]	Dysglycemia	C1960636
Endocannabinoids	C1172779	ASSOCIATED_WITH	["35420457_fullText_3"]	Metabolic Diseases	C0025517
Endocannabinoids	C1172779	ASSOCIATED_WITH	["35003109_fullText_2"]	Inflammatory Bowel Diseases	C0021390
Endocannabinoids	C1172779	ASSOCIATED_WITH	["36935484_fullText_8"]	nervous system disorder	C0027765
Endocannabinoids	C1172779	ASSOCIATED_WITH__SPEC__	["35420457_fullText_3"]	Non-alcoholic Fatty Liver Disease	C0400966
Endocannabinoids	C1172779	ASSOCIATED_WITH__SPEC__	["36935484_fullText_8"]	nervous system disorder	C0027765
Endocannabinoids	C1172779	PREVENTS	["34305821_fullText_2"]	Chronic Kidney Diseases	C1561643
Caffeine	C0006644	CAUSES	["34946538_fullText_1"]	Tumor Immunity	C1519680
Caffeine	C0006644	AFFECTS	["34622282_fullText_10"]	Dyskinetic syndrome	C0013384
Caffeine	C0006644	PREVENTS	["35584767_fullText_2"]	Parkinson Disease	C0030567
anandamide	C0211726	ASSOCIATED_WITH	["35003109_fullText_2"]	Inflammatory Bowel Diseases	C0021390
Enzymes, hematological	C3540017	AFFECTS	["36043764_fullText_8"]	Alzheimer's Disease	C0002395
Glycine	C0017890	ASSOCIATED_WITH	["3035402_fullText_5"]	Hyperphenylalaninaemia	C0751435
Glycine	C0017890	ASSOCIATED_WITH	["32130224_fullText_93"]	Painful Bladder Syndrome	C1720830
Glycine	C0017890	ASSOCIATED_WITH	["33929661_fullText_2","33929661_fullText_4","33929661_fullText_13"]	Chronic Obstructive Airway Disease	C0024117
Glycine	C0017890	ASSOCIATED_WITH__INFER__	["6257849_fullText_7"]	Hyperphenylalaninaemia	C0751435
Acetylcholine	C0001041	CAUSES	["36979411_fullText_5","36979411_fullText_6"]	Chronic Obstructive Airway Disease	C0024117
Acetylcholine	C0001041	AFFECTS	["34048797_fullText_3"]	Parkinsonian Disorders	C0242422
Acetylcholine	C0001041	PREDISPOSES	["37648452_fullText_3"]	Amyloidosis	C0002726
Acetylcholine	C0001041	ASSOCIATED_WITH	["39151654_fullText_8"]	Neuromuscular Diseases	C0027868
Acetylcholine	C0001041	ASSOCIATED_WITH	["34471145_fullText_6","37317917_fullText_1"]	Alzheimer's Disease	C0002395
Acetylcholine	C0001041	ASSOCIATED_WITH	["35447544_fullText_5"]	Obesity	C0028754
Acetylcholine	C0001041	ASSOCIATED_WITH	["33831360_fullText_1"]	Parkinson Disease	C0030567
Acetylcholine	C0001041	ASSOCIATED_WITH	["35254130_fullText_10"]	Lafora Disease	C0751783
aripiprazole	C0299792	AFFECTS	["31615832_fullText_155"]	Helminthiasis	C0018889
aripiprazole	C0299792	PREVENTS	["35989107_fullText_9"]	Sialorrhea	C0037036
Pharmacologic Substance	C1254351	CAUSES	["35322233_fullText_3"]	Airway Obstruction	C0001883
Pharmacologic Substance	C1254351	CAUSES	["36979411_fullText_5"]	Chronic Obstructive Airway Disease	C0024117
Pharmacologic Substance	C1254351	AFFECTS	["34174090_fullText_3"]	Sleep Apnea, Obstructive	C0520679
Pharmacologic Substance	C1254351	AFFECTS	["33840206_fullText_4"]	Migraine Disorders	C0149931
Pharmacologic Substance	C1254351	PREVENTS	["34795026_fullText_10"]	Respiratory Distress Syndrome, Adult	C0035222
Adenosine	C0001443	ASSOCIATED_WITH	["32357546_fullText_229"]	Machado-Joseph Disease	C0024408
Adenosine	C0001443	ASSOCIATED_WITH	["34137476_fullText_12"]	Restless Legs Syndrome	C0035258
Lithium	C0023870	ASSOCIATED_WITH	["26297649_fullText_5"]	Machado-Joseph Disease	C0024408
Sodium Chloride	C0037494	ASSOCIATED_WITH	["21826223_fullText_90"]	Painful Bladder Syndrome	C1720830
Sodium Chloride	C0037494	ASSOCIATED_WITH	["23889603_fullText_1"]	GRN-related frontotemporal dementia	C3811918
Glutamic Acid	C0061472	ASSOCIATED_WITH	["37647579_fullText_8"]	Myopia	C0027092
Glutamic Acid	C0061472	PREVENTS	["35352247_fullText_3"]	Autonomic nervous system disorders	C1145628
agonists	C0243192	CAUSES	["24594605_fullText_66"]	Lesion of brain	C0221505
agonists	C0243192	AFFECTS	["35767902_fullText_4"]	Acute colitis	C2118460
agonists	C0243192	AFFECTS	["36799441_fullText_7"]	Neurodegenerative Disorders	C0524851
agonists	C0243192	PREVENTS	["36473517_fullText_8"]	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 2 (disorder)	C1849452
CALCIUM HOMEOSTASIS	C3653518	AFFECTS	["21949352_fullText_7"]	Machado-Joseph Disease	C0024408
Iron	C0302583	CAUSES	["11293470_fullText_2"]	Anemia	C0002871
opium alkaloids and derivative combination cough suppressants	C3539957	PREVENTS	["35514240_fullText_3"]	copd exacerbation	C0740304
Insulin	C0021641	CAUSES	["32357546_fullText_176"]	Machado-Joseph Disease	C0024408
Insulin	C0021641	CAUSES	["25476247_fullText_3"]	Impaired glucose tolerance	C0271650
Insulin	C0021641	PREDISPOSES	["7669426_fullText_2"]	Hyperinsulinism	C0020459
Insulin	C0021641	ASSOCIATED_WITH	["20466571_fullText_3"]	Phenylketonurias	C0031485
Insulin	C0021641	ASSOCIATED_WITH	["28915272_fullText_144"]	Myotonic Disorders	C0553604
Insulin	C0021641	ASSOCIATED_WITH	["888734_fullText_5"]	Neuromuscular Diseases	C0027868
Insulin	C0021641	ASSOCIATED_WITH	["3065594_fullText_3"]	Muscular Atrophy	C0026846
Insulin	C0021641	ASSOCIATED_WITH	["701484_fullText_7","888734_fullText_5","765416_fullText_13"]	Myotonic Dystrophy	C0027126
Insulin	C0021641	DISRUPTS	["35308014_fullText_62"]	Hypoglycemia	C0020615
