Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Agonist	C2987634	STIMULATES	["33992835_fullText_5"]	DRD1 gene	C1333250
Agonist	C2987634	CONVERTS_TO	["35129730_fullText_2"]	MSMP gene	C2677316
Cholesterol	C0008377	PART_OF	["29285660_fullText_4"]	AGO2 gene	C1414333
Cholesterol	C0008377	COEXISTS_WITH	["38612794_fullText_108"]	ATXN3 gene	C1538301
Cholesterol	C0008377	COEXISTS_WITH	["37407594_fullText_6"]	NPC1 gene	C1417776
Cholesterol	C0008377	COEXISTS_WITH	["32368833_fullText_56"]	OSBPL3 gene	C1424223
Cholesterol	C0008377	COEXISTS_WITH	["32368833_fullText_81","32368833_fullText_105"]	RAB10 gene	C1419188
Cholesterol	C0008377	COEXISTS_WITH	["32368833_fullText_65","32368833_fullText_105"]	RAB3IP gene	C1424340
Cholesterol	C0008377	COEXISTS_WITH	["32368833_fullText_81","32368833_fullText_105"]	KIFC3 gene	C1416641
Cholesterol	C0008377	COEXISTS_WITH	["32368833_fullText_11"]	SHH gene	C1335824
Cholesterol	C0008377	COEXISTS_WITH	["32147747_fullText_41"]	SULT2B1 gene	C1420520
Cholesterol	C0008377	COEXISTS_WITH	["14673138_fullText_1"]	PEX2 gene	C1419149
Cholesterol	C0008377	INHIBITS	["32368833_fullText_52"]	OSBPL3 gene	C1424223
Cholesterol	C0008377	INHIBITS	["32368833_fullText_18"]	SHH gene	C1335824
Cholesterol	C0008377	INHIBITS	["32368833_fullText_80"]	KIFC3 gene	C1416641
Cholesterol	C0008377	STIMULATES	["32145091_fullText_144","32145091_fullText_166"]	SREBF1 gene	C1420398
Threonine	C0040005	STIMULATES	["28281558_fullText_8"]	ALYREF gene	C1425988
Suppressor	C2954564	COEXISTS_WITH	["26804654_fullText_112"]	SURF1 gene	C1420527
Chalcone	C0007935	INHIBITS	["35892288_fullText_5"]	BACE1 gene	C1412727
Recombinant Interferon-gamma	C0021740	INHIBITS	["34736899_fullText_12"]	HMGB1 gene	C1333908
Evans blue	C0015205	COEXISTS_WITH	["38732047_fullText_64","38732047_fullText_92"]	NDUFS4 gene	C1417647
