Disease	Disease_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Glaucoma	C0017601	AFFECTS	["34402741_fullText_1"]	Scotoma	C0036454
Beta-Hydroxyisobutyryl CoA Deacylase Deficiency	C0342738	COEXISTS_WITH	["26026795_fullText_2"]	screen techniques	C0807878
Rare Diseases	C0678236	COEXISTS_WITH	["37578052_fullText_1"]	Variable manifestations	C3150238
Fabry Disease	C0002986	COEXISTS_WITH__SPEC__	["37578052_fullText_1"]	Variable manifestations	C3150238
Myasthenic Syndromes, Congenital	C0751882	COEXISTS_WITH	["19520274_fullText_1"]	Newborn (finding)	C2239178
Myotonic Dystrophy	C0027126	COEXISTS_WITH	["6543902_fullText_1"]	Newborn (finding)	C2239178
Centronuclear myopathy	C0175709	COEXISTS_WITH	["525348_fullText_5"]	Newborn (finding)	C2239178
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	COEXISTS_WITH	["27186704_fullText_4","26101365_fullText_8"]	Newborn (finding)	C2239178
Acidosis, Lactic	C0001125	AFFECTS	["24113355_fullText_1"]	Newborn (finding)	C2239178
Mitochondrial Myopathies	C0162670	COEXISTS_WITH	["23835682_fullText_14","20091552_fullText_10"]	Endurance	C0518031
Nephrocalcinosis	C0027709	COEXISTS_WITH	["35741019_fullText_69"]	Transaminases increased	C0438717
LEBER OPTIC ATROPHY AND DYSTONIA	C1839040	COEXISTS_WITH	["19458970_fullText_1"]	Dystonia, progressive	C2676282
Optic Atrophy, Hereditary, Leber	C0917796	COEXISTS_WITH	["19458970_fullText_1"]	Dystonia, progressive	C2676282
Cardiomyopathies	C0878544	PREDISPOSES	["28344440_fullText_46"]	Electrocardiogram	C0013798
Centronuclear myopathy	C0175709	ISA	["6186788_fullText_2"]	Muscle finding	C0427194
Protein-Losing Enteropathies	C0033680	CAUSES	["22899857_fullText_5"]	Diarrhea	C0011991
Dysbacteriosis	C1536021	CAUSES	["36591754_fullText_5"]	Diarrhea	C0011991
OCCULT MACULAR DYSTROPHY	C3150833	COEXISTS_WITH	["33744095_fullText_5"]	Good neonatal condition at birth	C0578757
Phenylketonurias	C0031485	COEXISTS_WITH	["1127497_fullText_5"]	Good neonatal condition at birth	C0578757
Neuromuscular Diseases	C0027868	CAUSES	["37209494_fullText_1"]	CNS symptom	C0422879
Depletion of mitochondrial DNA	C0342782	COEXISTS_WITH	["31996241_fullText_68"]	SUCLA2	C3811915
Cerebral necrosis	C1392266	COEXISTS_WITH	["16488174_fullText_5"]	Unexpected death	C0277591
Leigh Disease	C0023264	COEXISTS_WITH	["16815282_fullText_3"]	Macular dystrophy, concentric annular	C1828210
Myotonic Dystrophy	C0027126	COEXISTS_WITH	["3799165_fullText_1"]	Gravidity	C0600457
Cardiomyopathy, Dilated	C0007193	COEXISTS_WITH	["35767235_fullText_9"]	Cardiac Arrhythmia	C0003811
Neuromuscular Diseases	C0027868	COEXISTS_WITH	["23097601_fullText_14"]	Cardiac Arrhythmia	C0003811
Multisystem disorder	C0559758	COEXISTS_WITH	["12868497_fullText_1"]	Cardiac Arrhythmia	C0003811
Atrioventricular Block	C0004245	ISA	["30838353_fullText_3"]	Cardiac Arrhythmia	C0003811
Fibrillation	C0232197	ISA	["23097601_fullText_29"]	Cardiac Arrhythmia	C0003811
Atrial Fibrillation	C0004238	ISA	["37331622_fullText_1","35106529_fullText_2","15042318_fullText_2"]	Cardiac Arrhythmia	C0003811
Syndrome	C0039082	AFFECTS	["25883322_fullText_33"]	Cardiac Arrhythmia	C0003811
Heart failure	C0018801	AFFECTS	["20627570_fullText_4"]	Cardiac Arrhythmia	C0003811
Cardiomyopathies	C0878544	AFFECTS	["20627570_fullText_4"]	Cardiac Arrhythmia	C0003811
Muscular Dystrophy	C0026850	PREDISPOSES	["17217326_fullText_7"]	Cardiac Arrhythmia	C0003811
Myasthenic Syndromes, Congenital	C0751882	COEXISTS_WITH	["26552645_fullText_7"]	Proximal muscle weakness	C0221629
Glutaric aciduria, type 1	C0268595	AFFECTS	["26693825_fullText_163"]	Cerebral malformations	C1838626
Progressive Muscular Atrophy	C0917981	COEXISTS_WITH	["1424455_fullText_1"]	Uncommon disorder	C1847498
Cluster Headache	C0009088	COEXISTS_WITH	["33888080_fullText_1"]	Observation of attack	C1304680
Dermatitis	C0011603	COEXISTS_WITH	["34288036_fullText_7"]	Pruritus	C0033774
Agenesis of corpus callosum	C0175754	COEXISTS_WITH	["36604775_fullText_6"]	Pruritus	C0033774
Chronic Obstructive Airway Disease	C0024117	COEXISTS_WITH	["37276335_fullText_14"]	American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281
Epilepsy	C0014544	COEXISTS_WITH	["36460464_fullText_8"]	Co-morbid conditions	C1275743
Parkinson Disease	C0030567	COEXISTS_WITH	["37192341_fullText_7"]	Co-morbid conditions	C1275743
Syndrome	C0039082	AFFECTS	["19207313_fullText_3"]	Endocrine finding	C0559306
copd exacerbation	C0740304	COEXISTS_WITH	["37155496_fullText_8"]	Adherence To Medication Regime	C2364172
Infantile Neuroaxonal Dystrophy	C0270724	PREDISPOSES	["38040431_fullText_8"]	Adherence To Medication Regime	C2364172
Neuromuscular Diseases	C0027868	AFFECTS	["27452966_fullText_4"]	Cardiovascular finding	C0425560
Hypoglycemia	C0020615	AFFECTS	["34848131_fullText_3"]	Cardiovascular finding	C0425560
Lipodystrophy	C0023787	AFFECTS	["34638939_fullText_3"]	0 days	C3842337
Sleep Apnea Syndromes	C0037315	PREDISPOSES	["8201339_fullText_3"]	daytime sleepiness	C0541854
Hypothyroidism	C0020676	PREDISPOSES	["31673761_fullText_4"]	daytime sleepiness	C0541854
Psoriasis	C0033860	COEXISTS_WITH	["34611920_fullText_2"]	drug exposure	C0743284
Muscular Atrophy	C0026846	AFFECTS	["26092529_fullText_24"]	Immobile	C0231441
metabolic disturbance	C0746556	PREDISPOSES	["34110910_fullText_6"]	Cardiovascular event	C1320716
Myocardial Infarction	C0027051	PREDISPOSES	["35429947_fullText_2"]	Cardiovascular event	C1320716
Alzheimer's Disease	C0002395	COEXISTS_WITH	["34334401_fullText_5"]	Mantle	C3846131
Diabetes Mellitus	C0011849	COEXISTS_WITH	["35834260_fullText_1"]	diabetic	C0241863
Hypoglycemia	C0020615	AFFECTS	["33855225_fullText_4"]	diabetic	C0241863
Intraoperative floppy iris syndrome	C1688637	PREDISPOSES	["34321822_fullText_9"]	Anticipated	C3840775
Rare Diseases	C0678236	CAUSES	["30767057_fullText_2"]	Fatigability	C0231230
Incontinence	C0021167	COEXISTS_WITH	["37506033_fullText_5"]	Urgency of micturition	C0085606
Obesity	C0028754	COEXISTS_WITH	["34027896_fullText_1"]	T2d	C3854130
Neuromuscular Diseases	C0027868	CAUSES	["29390978_fullText_44"]	Asthenia	C0004093
nervous system disorder	C0027765	PREDISPOSES	["37966437_fullText_1"]	Suicide	C0038661
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	COEXISTS_WITH	["29648495_fullText_3"]	Poor metabolizer	C3845231
Peptic Esophagitis	C0014869	COEXISTS_WITH	["35714110_fullText_12"]	Gastrointestinal symptom	C0426576
Hydrops Fetalis	C0020305	COEXISTS_WITH	["26066342_fullText_8"]	Gastrointestinal symptom	C0426576
Myotonic Dystrophy	C0027126	CAUSES	["31735801_fullText_8"]	Gastrointestinal symptom	C0426576
