Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
CACNA1A gene	C1456413	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
SLC2A1 gene	C1335837	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
SCN8A gene	C1419866	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
RFC1 gene	C1419348	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PNPLA6 gene	C1826637	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
ITPR1 gene	C1334148	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PMM2 gene	C1418674	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
NPC1 gene	C1417776	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
CA8 gene	C1413051	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PEX6 gene	C1418478	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
MLC1 gene	C1424729	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PRKCG gene	C1418919	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
COQ4 gene	C1426339	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
KCNA6 gene	C1416549	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
POLG gene	C1418731	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
AFG3L2 gene	C1412274	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
GJB1 gene	C1415076	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
STXBP1 gene	C1420506	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
RPGRIP1L gene	C2242767	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PDYN gene	C1418447	ASSOCIATED_WITH__INFER__	["8968739_fullText_2","8968739_fullText_8"]	Cerebellar Ataxia	C0007758
Alleles	C0002085	CAUSES	["3702929_fullText_4"]	Severe phenotype	C1836408
PEX13 gene	C1418474	CAUSES	["37962062_fullText_10"]	Severe phenotype	C1836408
PEX26 gene	C1427818	CAUSES	["30446579_fullText_33"]	Severe phenotype	C1836408
MT-CO2 gene	C1537986	CAUSES	["33771987_fullText_1"]	Severe phenotype	C1836408
MT-CO3 gene	C1537987	CAUSES	["33771987_fullText_1"]	Severe phenotype	C1836408
SURF1 gene	C1420527	CAUSES	["25164807_fullText_85"]	Severe phenotype	C1836408
PEX1 gene	C1418469	CAUSES	["16141001_fullText_5"]	Severe phenotype	C1836408
PHEX gene	C1418526	CAUSES	["10862081_fullText_6","30446579_fullText_33"]	Severe phenotype	C1836408
GCDH gene	C1415009	CAUSES	["28062662_fullText_2"]	Severe phenotype	C1836408
Alleles	C0002085	AFFECTS	["22643181_fullText_43"]	Severe phenotype	C1836408
PGAM5 gene	C1826571	AFFECTS	["30578322_fullText_4"]	Severe phenotype	C1836408
PINK1 gene	C1422771	AFFECTS	["30578322_fullText_4"]	Severe phenotype	C1836408
SCN1A gene	C1419856	AUGMENTS	["34822817_fullText_7"]	Severe phenotype	C1836408
SOD1 gene	C1420306	ASSOCIATED_WITH		Fatigue	C0015672
IMPACT gene	C1825598	ASSOCIATED_WITH	["20482818_fullText_66"]	Fatigue	C0015672
GFPT1 gene	C1415046	ASSOCIATED_WITH__INFER__	["21975507_fullText_8"]	Fatigue	C0015672
ABCB1 gene	C0376622	ASSOCIATED_WITH		Nausea	C0027497
