Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
KCNE2 gene	C1416565	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
KCNA5 gene	C1416548	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
SGOL1 gene	C1428445	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
KNG1 gene	C1537501	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
CACNA1C gene	C1413057	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
GJA1 gene	C1415068	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
HTR4 gene	C1415813	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
ACADVL gene	C1412110	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
KCNH2 gene	C1416572	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
KCNJ2 gene	C1416584	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
RYR2 gene	C1419779	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
ANK2 gene	C1412403	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
ACE gene	C1413931	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
SCN1B gene	C1419857	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
MYH7 gene	C1417542	ASSOCIATED_WITH		Cardiac Arrhythmia	C0003811
ADRB1 gene	C1439273	DISRUPTS	["37459671_fullText_5"]	Cardiac Arrhythmia	C0003811
SIRT1 gene	C1423062	DISRUPTS	["27165717_fullText_47"]	Hypovolemia	C0546884
NDUFAF5 gene	C1423817	CAUSES	["34964562_fullText_102"]	Observation of attack	C1304680
PIR gene	C1538650	CAUSES	["35768212_fullText_1"]	Abstinence	C3843422
TAC1 gene	C1420563	ASSOCIATED_WITH		Pruritus	C0033774
PDYN gene	C1418447	ASSOCIATED_WITH		Pruritus	C0033774
SCN9A gene	C1419867	ASSOCIATED_WITH		Pruritus	C0033774
HRH4 gene	C1424950	ASSOCIATED_WITH		Pruritus	C0033774
OPRM1 gene	C1417965	ASSOCIATED_WITH		Pruritus	C0033774
ABCB11 gene	C1412070	ASSOCIATED_WITH		Pruritus	C0033774
HRH1 gene	C1439351	ASSOCIATED_WITH		Pruritus	C0033774
P2RY12 gene	C1425330	ASSOCIATED_WITH	["36289499_fullText_6"]	Inflammatory pain	C0234251
PRKG1 gene	C1418929	ASSOCIATED_WITH		Neuralgia	C0027796
TAC1 gene	C1420563	ASSOCIATED_WITH		Neuralgia	C0027796
CXCR2 gene	C1334126	ASSOCIATED_WITH		Neuralgia	C0027796
CACNA2D1 gene	C1413065	ASSOCIATED_WITH		Neuralgia	C0027796
GRM5 gene	C1333712	ASSOCIATED_WITH		Neuralgia	C0027796
GAL gene	C1414945	ASSOCIATED_WITH		Neuralgia	C0027796
TNF gene	C0812246	ASSOCIATED_WITH		Neuralgia	C0027796
NTRK1 gene	C0919487	ASSOCIATED_WITH		Neuralgia	C0027796
HMGB1 gene	C1333908	ASSOCIATED_WITH		Neuralgia	C0027796
SCN10A gene	C1419853	ASSOCIATED_WITH		Neuralgia	C0027796
CYP17A1 gene	C1413858	ASSOCIATED_WITH		Neuralgia	C0027796
SCN9A gene	C1419867	ASSOCIATED_WITH		Neuralgia	C0027796
HTR2C gene	C1415811	ASSOCIATED_WITH		Neuralgia	C0027796
OPRM1 gene	C1417965	ASSOCIATED_WITH		Neuralgia	C0027796
TAC1 gene	C1420563	ASSOCIATED_WITH		Hyperalgesia	C0020429
CNR2 gene	C1413555	ASSOCIATED_WITH		Hyperalgesia	C0020429
SCN11A gene	C1419854	ASSOCIATED_WITH		Hyperalgesia	C0020429
CACNA2D1 gene	C1413065	ASSOCIATED_WITH		Hyperalgesia	C0020429
TNFRSF11B gene	C1336645	ASSOCIATED_WITH		Hyperalgesia	C0020429
PTGER1 gene	C1419061	ASSOCIATED_WITH		Hyperalgesia	C0020429
COMT gene	C1135159	ASSOCIATED_WITH		Hyperalgesia	C0020429
GRIN1 gene	C1415298	ASSOCIATED_WITH		Hyperalgesia	C0020429
GDNF gene	C1333669	ASSOCIATED_WITH		Hyperalgesia	C0020429
KNG1 gene	C1537501	ASSOCIATED_WITH		Hyperalgesia	C0020429
NGF gene	C1417719	ASSOCIATED_WITH		Hyperalgesia	C0020429
CNR1 gene	C1413554	ASSOCIATED_WITH		Hyperalgesia	C0020429
HTR2A gene	C1415809	ASSOCIATED_WITH		Hyperalgesia	C0020429
PDYN gene	C1418447	ASSOCIATED_WITH		Hyperalgesia	C0020429
MECP2 gene	C1417098	ASSOCIATED_WITH		Hyperalgesia	C0020429
TRPV1 gene	C1421467	ASSOCIATED_WITH		Hyperalgesia	C0020429
HMGB1 gene	C1333908	ASSOCIATED_WITH		Hyperalgesia	C0020429
NOS1 gene	C1417759	ASSOCIATED_WITH		Hyperalgesia	C0020429
SLC12A5 gene	C1422213	ASSOCIATED_WITH		Hyperalgesia	C0020429
SCN10A gene	C1419853	ASSOCIATED_WITH		Hyperalgesia	C0020429
GJA1 gene	C1415068	ASSOCIATED_WITH		Hyperalgesia	C0020429
ALOX5 gene	C1412361	ASSOCIATED_WITH		Hyperalgesia	C0020429
GRIN2B gene	C1415300	ASSOCIATED_WITH		Hyperalgesia	C0020429
PNOC gene	C1418716	ASSOCIATED_WITH		Hyperalgesia	C0020429
TRPV4 gene	C1425291	ASSOCIATED_WITH		Hyperalgesia	C0020429
DRD3 gene	C1414148	ASSOCIATED_WITH		Hyperalgesia	C0020429
AIF1 gene	C1412299	ASSOCIATED_WITH		Hyperalgesia	C0020429
MMP3 gene	C1366358	ASSOCIATED_WITH		Hyperalgesia	C0020429
CRHR1 gene	C1413709	ASSOCIATED_WITH		Hyperalgesia	C0020429
CACNA1H gene	C1413062	ASSOCIATED_WITH		Hyperalgesia	C0020429
SYN2 gene	C1420544	ASSOCIATED_WITH		Hyperalgesia	C0020429
MAPK8 gene	C1367731	ASSOCIATED_WITH		Hyperalgesia	C0020429
IL6 gene	C1334122	ASSOCIATED_WITH		Hyperalgesia	C0020429
P2RX3 gene	C1418212	ASSOCIATED_WITH		Hyperalgesia	C0020429
PRKCE gene	C1418918	ASSOCIATED_WITH		Hyperalgesia	C0020429
PRKCG gene	C1418919	ASSOCIATED_WITH		Hyperalgesia	C0020429
P2RX2 gene	C1423503	ASSOCIATED_WITH		Hyperalgesia	C0020429
THBD gene	C1420720	ASSOCIATED_WITH		Hyperalgesia	C0020429
OPRM1 gene	C1417965	ASSOCIATED_WITH		Hyperalgesia	C0020429
MAPK3 gene	C1366765	ASSOCIATED_WITH		Hyperalgesia	C0020429
TRPA1 gene	C1412407	ASSOCIATED_WITH		Hyperalgesia	C0020429
PTGS2 gene	C1367485	ASSOCIATED_WITH		Hyperalgesia	C0020429
IL1B gene	C1334112	ASSOCIATED_WITH		Hyperalgesia	C0020429
IGF1 gene	C1334089	ASSOCIATED_WITH		Hyperalgesia	C0020429
MPZ gene	C1417248	ASSOCIATED_WITH		Hyperalgesia	C0020429
CALCA gene	C1367551	ASSOCIATED_WITH		Hyperalgesia	C0020429
TACR1 gene	C1420565	ASSOCIATED_WITH		Hyperalgesia	C0020429
IL1A gene	C1334111	ASSOCIATED_WITH		Hyperalgesia	C0020429
SLC5A7 gene	C1422359	ASSOCIATED_WITH	["36808325_fullText_4"]	Hyperalgesia	C0020429
TRPM8 gene	C1425206	DISRUPTS	["34166321_fullText_4"]	Hyperalgesia	C0020429
STAT3 gene	C1367307	CAUSES	["36463957_fullText_2"]	Mechanical Allodynia	C2936719
hla gene	C0599797	AFFECTS	["1792853_fullText_1"]	daytime sleepiness	C0541854
IL13 gene	C1334103	AFFECTS	["36856158_fullText_5"]	Nose symptoms	C0231918
CYP2D6 gene	C1332830	AFFECTS	["34003603_fullText_7"]	drug exposure	C0743284
CYP2C19 gene	C1332828	AFFECTS	["34003603_fullText_7"]	drug exposure	C0743284
STAT3 gene	C1367307	CAUSES	["36463957_fullText_2"]	analgesic effect	C0948482
CNR1 gene	C1413554	AFFECTS	["34844727_fullText_7"]	analgesic effect	C0948482
GRIN2B gene	C1415300	DISRUPTS	["33760644_fullText_14"]	analgesic effect	C0948482
Receptor Gene	C1335671	DISRUPTS	["37394124_fullText_7"]	Immobile	C0231441
DR1 gene	C1333247	DISRUPTS	["37394124_fullText_7"]	Immobile	C0231441
FNDC5 gene	C1426803	AUGMENTS	["34126232_fullText_1"]	exercise induced	C0239313
MC4R gene	C1417064	AFFECTS	["37519251_fullText_11"]	Increase in blood pressure	C0497247
TRPV4 gene	C1425291	AFFECTS	["34014488_fullText_4","34014488_fullText_5"]	Neuropathic pain	C3714625
NR5A2 gene	C1417839	CAUSES	["33901621_fullText_11"]	cholinesterase inhibition	C0877006
NR5A2 gene	C1417839	AFFECTS	["33901621_fullText_11"]	cholinesterase inhibition	C0877006
STRA13 gene	C1420488	CAUSES	["35341569_fullText_5"]	Absence of pain sensation	C0344307
CNR1 gene	C1413554	AFFECTS	["34802041_fullText_7"]	Absence of pain sensation	C0344307
HCRTR1 gene	C1415501	ASSOCIATED_WITH	["34718063_fullText_9"]	Absence of pain sensation	C0344307
CNR2 gene	C1413555	ASSOCIATED_WITH	["36260938_fullText_2"]	Absence of pain sensation	C0344307
HCRTR2 gene	C1415502	ASSOCIATED_WITH	["34718063_fullText_9"]	Absence of pain sensation	C0344307
Transgenes	C0282641	AFFECTS	["27030674_fullText_56"]	Infected	C0439663
DDX3X gene	C1413962	AFFECTS	["27030674_fullText_56"]	Infected	C0439663
MTOR gene	C1414805	AFFECTS	["32130224_fullText_33"]	Infected	C0439663
NLRP1 wt Allele	C3538756	CAUSES	["35307331_fullText_2"]	Acute onset pain	C0184567
ABCB1 gene	C0376622	ASSOCIATED_WITH		Pain, Postoperative	C0030201
P2RX7 gene	C1418215	CAUSES	["34205953_fullText_1"]	Nociceptive Pain	C3178766
ALOX5 gene	C1412361	ASSOCIATED_WITH		Endotoxemia	C0376618
HSPD1 gene	C1415782	ASSOCIATED_WITH		Endotoxemia	C0376618
CNR1 gene	C1413554	AUGMENTS	["34443679_fullText_7"]	Endotoxemia	C0376618
STAT3 gene	C1367307	CAUSES	["36463957_fullText_2"]	Hyperalgesia, Thermal	C0751214
TRPV4 gene	C1425291	ASSOCIATED_WITH	["34014488_fullText_6"]	Hyperalgesia, Thermal	C0751214
FAAH gene	C1414512	DISRUPTS	["35754107_fullText_1"]	Withdrawal Symptoms	C0087169
Neomycin resistance gene	C1366752	DISRUPTS	["34127252_fullText_3"]	Day 7	C3842672
HCRTR2 gene	C1415502	DISRUPTS	["37413718_fullText_4"]	Day 7	C3842672
CNR1 gene	C1413554	AFFECTS	["35807499_fullText_1"]	Relationship problems (finding)	C0425168
IL2 gene	C0879590	ASSOCIATED_WITH		Asthenia	C0004093
S100A10 wt Allele	C3538774	ASSOCIATED_WITH	["34010748_fullText_5"]	Asthenia	C0004093
MBNL1 gene	C1417055	CAUSES	["31968060_fullText_116"]	Corrected Prolonged QT Interval by ECG Finding	C0855333
AES gene	C1412268	DISRUPTS	["36472162_fullText_7"]	Exacerbation of asthma	C0349790
LAMA1 gene	C1416775	DISRUPTS	["37602534_fullText_6","37602534_fullText_10"]	Exacerbation of asthma	C0349790
PPARGC1A gene	C1418779	CAUSES	["28367954_fullText_25"]	Inefficiency	C0231184
INS gene	C1337112	ASSOCIATED_WITH		Hyperkalemia	C0020461
MMD gene	C1417198	AFFECTS	["10768538_fullText_4"]	Tidal Volume	C0040210
HTR2B gene	C1415810	AFFECTS	["33895170_fullText_10"]	Ovariectomized female	C3687559
NTN1 gene	C1334908	ASSOCIATED_WITH		Neurobehavioral Manifestations	C0525041
CHRNA7 gene	C1413406	ASSOCIATED_WITH		Neurobehavioral Manifestations	C0525041
APOE gene	C1412481	ASSOCIATED_WITH		Neurobehavioral Manifestations	C0525041
SNCA gene	C1420276	ASSOCIATED_WITH		Neurobehavioral Manifestations	C0525041
IMPACT gene	C1825598	CAUSES	["31433494_fullText_7"]	Change in diet	C3671772
MYH7 gene	C1417542	ASSOCIATED_WITH		Chest Pain	C0008031
PSAT1 wt Allele	C3810537	ASSOCIATED_WITH	["33840085_fullText_5"]	Lower Urinary Tract Symptoms	C0574785
RYR1 gene	C1419778	ASSOCIATED_WITH		Myalgia	C0231528
PMP22 gene	C1418677	ASSOCIATED_WITH		Paresthesia	C0030554
HMBS gene	C1415597	ASSOCIATED_WITH		Abdominal Pain	C0000737
IL13 gene	C1334103	ASSOCIATED_WITH__INFER__	["34602401_fullText_1"]	Abdominal Pain	C0000737
LAMA1 gene	C1416775	AFFECTS	["34628125_fullText_7"]	Small airways	C1862763
Ir Genes	C0086344	CAUSES	["22431750_fullText_62"]	Decreased mental alertness	C3276433
PLP1 gene	C1418654	ASSOCIATED_WITH		Muscle Spasticity	C0026838
CNR1 gene	C1413554	ASSOCIATED_WITH		Muscle Spasticity	C0026838
SPAST gene	C1539809	ASSOCIATED_WITH		Muscle Spasticity	C0026838
AFG3L2 gene	C1412274	ASSOCIATED_WITH		Muscle Spasticity	C0026838
STXBP1 gene	C1420506	ASSOCIATED_WITH		Muscle Spasticity	C0026838
CHAF1A wt Allele	C3812373	CAUSES	["37865952_fullText_5"]	Renal dysfunction	C3279454
GTF2H5 gene	C1539623	ASSOCIATED_WITH	["32147747_fullText_86"]	Skin Manifestations	C0037285
ERCC3 gene	C1333357	ASSOCIATED_WITH	["32147747_fullText_86"]	Skin Manifestations	C0037285
PLEC gene	C1418643	CAUSES	["21175599_fullText_8"]	Skin Manifestations	C0037285
INS gene	C1337112	ASSOCIATED_WITH		Albuminuria	C0001925
CASP1 gene	C1366479	ASSOCIATED_WITH		Albuminuria	C0001925
LEPR gene	C1366515	ASSOCIATED_WITH		Albuminuria	C0001925
IL6 gene	C1334122	ASSOCIATED_WITH		Albuminuria	C0001925
REN gene	C1419338	ASSOCIATED_WITH		Albuminuria	C0001925
ACE gene	C1413931	ASSOCIATED_WITH		Albuminuria	C0001925
PTGS2 gene	C1367485	ASSOCIATED_WITH		Albuminuria	C0001925
LHB gene	C1416842	AFFECTS	["38017642_fullText_2"]	Drug seeking behavior	C0694536
PARD3 gene	C1423939	ASSOCIATED_WITH		Neural Tube Defects	C0027794
VANGL2 gene	C1423541	ASSOCIATED_WITH		Neural Tube Defects	C0027794
MTHFR gene	C0919427	ASSOCIATED_WITH		Neural Tube Defects	C0027794
HCRTR2 gene	C1415502	DISRUPTS	["37010536_fullText_4"]	At risk for falls	C1268740
Genes, Recessive	C0017361	CAUSES	["6373070_fullText_9"]	Personality Traits	C0233849
COL4A4 gene	C1413585	ASSOCIATED_WITH		Hematuria	C0018965
COL4A5 gene	C1413586	ASSOCIATED_WITH		Hematuria	C0018965
CYP1A1 gene	C0919425	ASSOCIATED_WITH		Hematuria	C0018965
LAT gene	C1425844	PREDISPOSES	["35176108_fullText_6"]	Overweight	C0497406
LEPR gene	C1366515	ASSOCIATED_WITH		Overweight	C0497406
BMP4 gene	C1412805	AUGMENTS	["35565658_fullText_184"]	Traffic	C3840880
INS gene	C1337112	ASSOCIATED_WITH		Hypertriglyceridemia	C0020557
APOB gene	C1412471	ASSOCIATED_WITH		Hypertriglyceridemia	C0020557
AKT1 gene	C0812228	ASSOCIATED_WITH		Hypertriglyceridemia	C0020557
PPARA gene	C1418776	ASSOCIATED_WITH		Hypertriglyceridemia	C0020557
BCHE gene	C1412756	ASSOCIATED_WITH		Hypertriglyceridemia	C0020557
CLASRP gene	C1425051	AFFECTS	["35050903_fullText_16"]	Cachexia	C0006625
TNF gene	C0812246	ASSOCIATED_WITH		Cachexia	C0006625
IL6 gene	C1334122	ASSOCIATED_WITH		Cachexia	C0006625
TNFRSF1A gene	C1363984	ASSOCIATED_WITH		Cachexia	C0006625
ZFP36 gene	C1421571	ASSOCIATED_WITH		Cachexia	C0006625
GDF15 gene	C1335222	ASSOCIATED_WITH		Cachexia	C0006625
IGF1 gene	C1334089	ASSOCIATED_WITH		Cachexia	C0006625
FTCD gene	C1414832	AFFECTS	["34391588_fullText_5"]	TOBACCO LEAF EXPOSURE	C0241411
CNR1 gene	C1413554	CAUSES	["37834323_fullText_7"]	active state	C0679217
XRCC1 gene	C1366475	ASSOCIATED_WITH		Erythema	C0041834
GSAP gene	C2678557	AFFECTS	["37366533_fullText_13"]	Single organ dysfunction	C0349410
GSAP gene	C2678557	CAUSES	["37366533_fullText_11"]	Single organ dysfunction	C0349410
SMPD1 gene	C1420259	AFFECTS	["37246980_fullText_4"]	Long Term Survivorship	C1517940
FAM3A gene	C1422181	ASSOCIATED_WITH	["35838014_fullText_7"]	Rhinorrhea	C1260880
STT3A gene	C1823138	DISRUPTS	["30701557_fullText_6"]	activity level	C0683317
IFNAR1 wt Allele	C1708407	AFFECTS	["35193483_fullText_5"]	activity level	C0683317
CHRNA7 gene	C1413406	ASSOCIATED_WITH		Tobacco Use Disorder	C0040336
BDNF gene	C1332408	ASSOCIATED_WITH		Tobacco Use Disorder	C0040336
DRD2 gene	C1333253	ASSOCIATED_WITH		Tobacco Use Disorder	C0040336
COMT gene	C1135159	ASSOCIATED_WITH		Musculoskeletal Pain	C0026858
ESR1 gene	C1414461	ASSOCIATED_WITH		Musculoskeletal Pain	C0026858
TRPA1 gene	C1412407	ASSOCIATED_WITH		Sneezing	C0037383
PMM2 gene	C1418674	AUGMENTS	["26940433_fullText_67"]	Ability to make coordinated movements	C1319208
PMM2 gene	C1418674	DISRUPTS	["26940433_fullText_29"]	Ability to make coordinated movements	C1319208
FAS gene	C1539477	ASSOCIATED_WITH		Proteinuria	C0033687
AGTR1 gene	C1439284	ASSOCIATED_WITH		Proteinuria	C0033687
LEP gene	C1416825	ASSOCIATED_WITH		Proteinuria	C0033687
CTSB gene	C1332804	ASSOCIATED_WITH		Proteinuria	C0033687
APOE gene	C1412481	ASSOCIATED_WITH		Proteinuria	C0033687
MPV17 gene	C1417247	ASSOCIATED_WITH		Proteinuria	C0033687
COL4A4 gene	C1413585	ASSOCIATED_WITH		Proteinuria	C0033687
PKD1 gene	C1418599	ASSOCIATED_WITH		Proteinuria	C0033687
CYBB gene	C1413844	ASSOCIATED_WITH		Proteinuria	C0033687
PPARA gene	C1418776	ASSOCIATED_WITH		Proteinuria	C0033687
COL4A5 gene	C1413586	ASSOCIATED_WITH		Proteinuria	C0033687
ALOX5AP gene	C1412362	ASSOCIATED_WITH		Proteinuria	C0033687
RHOA gene	C0812234	ASSOCIATED_WITH		Proteinuria	C0033687
IFNG gene	C1334085	ASSOCIATED_WITH		Proteinuria	C0033687
SOD1 gene	C1420306	ASSOCIATED_WITH		Proteinuria	C0033687
CLCN5 gene	C1413454	ASSOCIATED_WITH		Proteinuria	C0033687
WT1 gene	C0694898	ASSOCIATED_WITH		Proteinuria	C0033687
POMC gene	C1337111	ASSOCIATED_WITH		Proteinuria	C0033687
TGFB1 gene	C1366557	ASSOCIATED_WITH		Proteinuria	C0033687
MUC16 gene	C1423594	ASSOCIATED_WITH		Proteinuria	C0033687
REN gene	C1419338	ASSOCIATED_WITH		Proteinuria	C0033687
PLCE1 gene	C1424797	ASSOCIATED_WITH		Proteinuria	C0033687
B2M gene	C1412709	ASSOCIATED_WITH		Proteinuria	C0033687
ACE gene	C1413931	ASSOCIATED_WITH		Proteinuria	C0033687
TLR9 gene	C1423633	ASSOCIATED_WITH		Proteinuria	C0033687
HAVCR1 gene	C1425141	ASSOCIATED_WITH		Proteinuria	C0033687
PTGS2 gene	C1367485	ASSOCIATED_WITH		Proteinuria	C0033687
VEGFA gene	C1823619	ASSOCIATED_WITH		Proteinuria	C0033687
DPP4 gene	C1414141	ASSOCIATED_WITH		Proteinuria	C0033687
SLC12A3 gene	C1420092	ASSOCIATED_WITH		Hypokalemia	C0020621
LEP gene	C1416825	ASSOCIATED_WITH		Polydipsia	C0085602
PLG gene	C1367553	ASSOCIATED_WITH		Thrombocytopenia	C0040034
F10 gene	C1414497	ASSOCIATED_WITH		Thrombocytopenia	C0040034
PROS1 gene	C1418948	ASSOCIATED_WITH		Thrombocytopenia	C0040034
RAP1B gene	C1419266	ASSOCIATED_WITH		Thrombocytopenia	C0040034
ACTN1 gene	C1412165	ASSOCIATED_WITH		Thrombocytopenia	C0040034
TNFRSF10A gene	C1336643	ASSOCIATED_WITH		Thrombocytopenia	C0040034
GP6 gene	C1422611	ASSOCIATED_WITH		Thrombocytopenia	C0040034
ITGA2 gene	C1416484	ASSOCIATED_WITH		Thrombocytopenia	C0040034
IKZF5 gene	C1825591	ASSOCIATED_WITH		Thrombocytopenia	C0040034
FGG gene	C1414607	ASSOCIATED_WITH		Thrombocytopenia	C0040034
MTHFR gene	C0919427	ASSOCIATED_WITH		Thrombocytopenia	C0040034
ADAMTS13 gene	C1413036	ASSOCIATED_WITH		Thrombocytopenia	C0040034
GBA gene	C1414998	ASSOCIATED_WITH		Thrombocytopenia	C0040034
VWF gene	C1336938	ASSOCIATED_WITH		Thrombocytopenia	C0040034
P2RY12 gene	C1425330	ASSOCIATED_WITH		Thrombocytopenia	C0040034
SERPINC1 gene	C1412610	ASSOCIATED_WITH		Thrombocytopenia	C0040034
ACTB gene	C1384510	ASSOCIATED_WITH		Thrombocytopenia	C0040034
ITGB3 gene	C1416498	ASSOCIATED_WITH		Thrombocytopenia	C0040034
CYCS gene	C1426584	ASSOCIATED_WITH		Thrombocytopenia	C0040034
FGA gene	C1414592	ASSOCIATED_WITH		Thrombocytopenia	C0040034
SMAD4 gene	C0694891	ASSOCIATED_WITH		Thrombocytopenia	C0040034
GNE gene	C1428183	ASSOCIATED_WITH		Thrombocytopenia	C0040034
IL1B gene	C1334112	ASSOCIATED_WITH		Thrombocytopenia	C0040034
TPM4 gene	C1420875	ASSOCIATED_WITH		Thrombocytopenia	C0040034
STXBP2 gene	C1420507	ASSOCIATED_WITH		Thrombocytopenia	C0040034
PTPN11 gene	C1335280	ASSOCIATED_WITH		Thrombocytopenia	C0040034
LY96 gene	C1424783	CAUSES	["31735798_fullText_6"]	Delayed gastric emptying	C0740411
LY96 gene	C1424783	CAUSES	["31735798_fullText_6"]	Dyspepsia	C0013395
ELANE gene	C1414369	ASSOCIATED_WITH		Neutrophil count decreased	C0853697
TRPV1 gene	C1421467	ASSOCIATED_WITH		Heartburn	C0018834
TAC1 gene	C1420563	ASSOCIATED_WITH		Craving for alcohol	C0556385
LEP gene	C1416825	ASSOCIATED_WITH		Craving for alcohol	C0556385
AR gene	C1367578	ASSOCIATED_WITH		Craving for alcohol	C0556385
C10orf2 gene	C1418458	ASSOCIATED_WITH		Dysphonia	C1527344
FMR1 gene	C1414649	ASSOCIATED_WITH		Mood instability	C2678248
PIGN gene	C1418568	AFFECTS	["36322149_fullText_7"]	Complete penetrance	C1840470
HRH1 gene	C1439351	AFFECTS	["37567012_fullText_7"]	Microthrombosis	C3686869
ESD gene	C1414459	AFFECTS	["26515653_fullText_56"]	Decreased contractility	C1846086
AQP4 gene	C1412494	ASSOCIATED_WITH		Alcohol intake above recommended sensible limits	C0560219
GDNF gene	C1333669	ASSOCIATED_WITH		Alcohol intake above recommended sensible limits	C0560219
CEL gene	C1413336	CAUSES	["24179176_fullText_45"]	Decreased total protein	C0860901
DMPK gene	C1414085	CAUSES	["24039817_fullText_36"]	Day 6	C3842673
ESD gene	C1414459	CAUSES	["26515653_fullText_62"]	Low Cardiac Output	C0007166
SCN5A gene	C1419864	CAUSES	["31968060_fullText_5"]	Prolonged QT interval	C0151878
TCFL5 gene	C1420648	CAUSES	["37446216_fullText_2","37446216_fullText_4"]	Torpor	C0235193
LY86 gene	C1424584	DISRUPTS	["22827830_fullText_85"]	Decreased muscle function	C0231488
IMPACT gene	C1825598	CAUSES	["37728714_fullText_8"]	Respiratory alteration	C1268764
ALDH2 gene	C1412335	ASSOCIATED_WITH		Flushing	C0016382
GCDH gene	C1415009	AFFECTS	["30512148_fullText_1","25297592_fullText_7"]	GA-1	C3840680
GAA gene	C1414899	CAUSES	["38288553_fullText_1","38288553_abstract_1"]	Glycogen accumulation	C3686832
CNNM2 gene	C1412118	ASSOCIATED_WITH		Hypomagnesemia	C0151723
TRPM6 gene	C1425225	ASSOCIATED_WITH		Hypomagnesemia	C0151723
SLC6A4 gene	C1420214	ASSOCIATED_WITH		Alexithymia	C0002020
FAS gene	C1539477	ASSOCIATED_WITH		Splenomegaly	C0038002
PSEN1 gene	C1418985	ASSOCIATED_WITH		Splenomegaly	C0038002
APOE gene	C1412481	ASSOCIATED_WITH		Splenomegaly	C0038002
KRAS gene	C1537502	ASSOCIATED_WITH		Splenomegaly	C0038002
PEPD gene	C1418462	ASSOCIATED_WITH		Splenomegaly	C0038002
GAA gene	C1414899	CAUSES	["32012848_abstract_1"]	Skeletal muscle weakness	C3806327
MBNL1 gene	C1417055	DISRUPTS	["24293317_fullText_4"]	Skeletal muscle weakness	C3806327
F2 gene	C1414504	ASSOCIATED_WITH		THROMBOPHILIA DUE TO THROMBIN DEFECT	C3160733
ADO gene	C1428110	CAUSES	["39125643_fullText_70"]	Indeterminate result	C0459425
PNPO gene	C1538689	ASSOCIATED_WITH__INFER__	["20370816_fullText_4"]	Grimaces	C0239779
DHTKD1 gene	C1428130	ASSOCIATED_WITH		2-AMINOADIPIC 2-OXOADIPIC ACIDURIA	C1859817
ATXN3 gene	C1538301	CAUSES	["20945165_fullText_70"]	Partial loss	C3845645
DOK7 gene	C1824957	CAUSES	["20147321_fullText_1"]	Partial loss	C3845645
G6PD gene	C1333652	ASSOCIATED_WITH		Neonatal Jaundice	C0022353
NR1I2 gene	C1417826	ASSOCIATED_WITH		Neonatal Jaundice	C0022353
PMM2 gene	C1418674	CAUSES	["32962735_fullText_1"]	N-glycosylation defect	C3553578
PMM2 gene	C1418674	CAUSES	["22838182_fullText_124"]	Impaired N-glycosylation	C3552784
NGLY1 gene	C1425023	CAUSES	["35565658_fullText_202"]	Lack of tear production	C0423154
COG5 gene	C1423002	ASSOCIATED_WITH__INFER__	["24348268_fullText_150"]	Hypermobility, Joint	C0086437
GRHL3 gene	C1842259	ASSOCIATED_WITH		Cleft palate, isolated	C1837218
INSR gene	C1334133	AFFECTS	["24063868_fullText_4"]	Abnormal fat distribution	C3553572
PMM2 gene	C1418674	CAUSES	["22966035_fullText_11"]	Abnormal fat distribution	C3553572
PMM2 gene	C1418674	CAUSES	["11517108_fullText_1"]	Variable features	C2673413
HADH gene	C1415458	ASSOCIATED_WITH		Hyperinsulinemic hypoglycemia	C1864903
PEX12 gene	C1418473	AFFECTS	["10562279_fullText_145"]	metabolic deficiency	C0746554
ATP1A3 gene	C1412630	ASSOCIATED_WITH		Hemiplegia	C0018991
NTRK2 gene	C1334909	ASSOCIATED_WITH		prenatal alcohol exposure	C0678807
VEGFA gene	C1823619	ASSOCIATED_WITH		prenatal alcohol exposure	C0678807
IGF2 gene	C1334091	ASSOCIATED_WITH		prenatal alcohol exposure	C0678807
ACTN1 gene	C1412165	ASSOCIATED_WITH		Macrothrombocytopenia	C2751260
ITGB3 gene	C1416498	ASSOCIATED_WITH		Macrothrombocytopenia	C2751260
DPAGT1 gene	C1414133	CAUSES	["26033833_fullText_2"]	Fetal akinesia	C2748971
ALYREF gene	C1425988	CAUSES	["30388443_fullText_5"]	Structural brain anomalies	C3280971
