Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Imbalance	C1397014	ASSOCIATED_WITH	["33884761_fullText_5"]	Heart failure	C0018801
Imbalance	C1397014	ASSOCIATED_WITH	["33884761_fullText_5"]	Hypertensive disease	C0020538
Imbalance	C1397014	ASSOCIATED_WITH	["34228819_fullText_9"]	Male infertility	C0021364
Imbalance	C1397014	MANIFESTATION_OF	["25222595_fullText_3"]	Machado-Joseph Disease	C0024408
Variable expression	C1868500	COEXISTS_WITH	["14665709_fullText_1"]	Neurodegenerative Disorders	C0524851
Variable expression	C1868500	COEXISTS_WITH__SPEC__	["14665709_fullText_1"]	Machado-Joseph Disease	C0024408
Does hit (finding)	C0596020	COEXISTS_WITH	["36362434_fullText_5"]	Heparin-induced thrombocytopenia	C0272285
Coughing	C0010200	ASSOCIATED_WITH	["37030486_fullText_1"]	Asthma	C0004096
Coughing	C0010200	ASSOCIATED_WITH	["37355845_fullText_8"]	Rhinitis	C0035455
Sleeplessness	C0917801	COEXISTS_WITH	["32357546_fullText_27"]	Machado-Joseph Disease	C0024408
Sleeplessness	C0917801	ASSOCIATED_WITH	["23108384_fullText_5"]	Sleep Apnea, Obstructive	C0520679
Sleeplessness	C0917801	ASSOCIATED_WITH	["35972717_fullText_2"]	Primary Insomnia	C0033139
Sleeplessness	C0917801	ASSOCIATED_WITH	["11186915_fullText_6"]	Machado-Joseph Disease	C0024408
Sleeplessness	C0917801	ASSOCIATED_WITH	["11186915_fullText_3"]	Ataxia, Spinocerebellar	C0087012
Sign or Symptom	C3540840	COEXISTS_WITH	["35308014_fullText_140"]	Hypoglycemia	C0020615
Sign or Symptom	C3540840	COEXISTS_WITH	["30379275_fullText_6"]	Kearns-Sayre syndrome	C0022541
Sign or Symptom	C3540840	COEXISTS_WITH	["30379275_fullText_42"]	Mitochondrial Diseases	C0751651
Death (finding)	C1306577	COEXISTS_WITH	["36206617_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
Functional Status	C0598463	COEXISTS_WITH	["31575582_fullText_75"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Functional Status	C0598463	COEXISTS_WITH	["31575582_fullText_75"]	Spinocerebellar Ataxia Type 1	C0752120
Myoclonus	C0027066	COEXISTS_WITH	["28300031_fullText_10"]	Epileptic spasms	C3263982
Myoclonus	C0027066	COEXISTS_WITH	["29335023_fullText_29"]	Metabolic Diseases	C0025517
Myoclonus	C0027066	ISA	["32059522_fullText_16"]	Myopathy	C0026848
Ophthalmoplegia	C0029089	ISA	["23829769_fullText_68"]	Movement Disorders	C0026650
Ophthalmoplegia	C0029089	ASSOCIATED_WITH	["11405804_fullText_2"]	Machado-Joseph Disease	C0024408
Increased sweating	C0700590	ASSOCIATED_WITH	["24803843_fullText_43"]	Dystrophia myotonica 2	C2931689
Does swallow	C0740170	COEXISTS_WITH	["38030858_fullText_3"]	Progressive cerebellar ataxia	C0393525
Does swallow	C0740170	COEXISTS_WITH	["38497605_fullText_1"]	incurable diseases	C0175969
Does swallow	C0740170	COEXISTS_WITH	["23076958_fullText_3","23076958_fullText_7"]	Lower respiratory tract infection	C0149725
Does swallow	C0740170	COEXISTS_WITH	["23076958_fullText_3","23076958_fullText_7"]	Pneumonia	C0032285
Multiple symptoms	C0231217	COEXISTS_WITH	["22447154_fullText_1"]	Metabolic Diseases	C0025517
Multiple symptoms	C0231217	ASSOCIATED_WITH	["10852543_fullText_2"]	Congenital disorder of glycosylation type 1A	C0349653
Multiple symptoms	C0231217	ASSOCIATED_WITH	["24293317_fullText_76"]	Muscular Dystrophy	C0026850
Multiple symptoms	C0231217	COEXISTS_WITH__SPEC__	["22447154_fullText_1"]	Phenylketonurias	C0031485
Multiple symptoms	C0231217	ASSOCIATED_WITH__SPEC__	["36200199_fullText_1"]	Multiple Sclerosis	C0026769
unrelated person	C3242657	COEXISTS_WITH	["31705726_fullText_60"]	Skeletal dysplasia	C0410528
Fluctuation	C0231239	ASSOCIATED_WITH	["34439851_fullText_2"]	Glaucoma	C0017601
creatine increased	C0860942	COEXISTS_WITH	["25773989_fullText_3"]	Huntington Disease	C0020179
Phenotypic heterogeneity	C1852220	COEXISTS_WITH	["25370748_fullText_1","18071041_fullText_1"]	Machado-Joseph Disease	C0024408
speech characteristics	C0871407	COEXISTS_WITH	["25267338_fullText_6"]	Machado-Joseph Disease	C0024408
White matter changes	C1833300	COEXISTS_WITH	["24272589_fullText_12"]	Machado-Joseph Disease	C0024408
White matter changes	C1833300	COEXISTS_WITH	["26693825_fullText_13"]	nervous system disorder	C0027765
White matter changes	C1833300	COEXISTS_WITH	["26693825_fullText_136","26693825_fullText_139"]	Glutaric aciduria, type 1	C0268595
White matter changes	C1833300	COEXISTS_WITH	["22131273_fullText_6","22131273_fullText_110"]	Dystrophia myotonica 1	C2931688
White matter changes	C1833300	COEXISTS_WITH	["22131273_fullText_101"]	Myotonic Dystrophy	C0027126
White matter changes	C1833300	COEXISTS_WITH	["22131273_fullText_171"]	Dystrophia myotonica 2	C2931689
White matter changes	C1833300	COEXISTS_WITH	["8648535_fullText_5","8353710_fullText_3"]	Phenylketonurias	C0031485
Absent reflex	C0234146	COEXISTS_WITH	["10690232_fullText_1"]	Systemic disease	C0442893
Ataxia, Truncal	C0427190	ASSOCIATED_WITH	["36093993_fullText_156"]	Neuropathy	C0442874
Molecular Genetic Abnormality	C1704257	COEXISTS_WITH	["38870029_fullText_1"]	Leigh Disease	C0023264
Molecular Abnormality	C0262496	COEXISTS_WITH	["10811636_fullText_1"]	myotonic muscular dystrophy	C0242007
Heterogeneous disorder	C1858576	COEXISTS_WITH	["32214787_fullText_4"]	Deaf-Blind Disorders	C1955603
Unable	C1299582	COEXISTS_WITH	["37242212_fullText_6","16235378_fullText_7"]	Phenylketonurias	C0031485
Psychiatric symptom	C0233401	ASSOCIATED_WITH	["37865339_fullText_4","9041285_fullText_7"]	Phenylketonurias	C0031485
Brainstem abnormalities	C1850601	COEXISTS_WITH	["39080924_fullText_20"]	Respiratory Failure	C1145670
Increased echogenicity	C1849402	COEXISTS_WITH	["23680416_fullText_1"]	Machado-Joseph Disease	C0024408
Brain stem atrophy	C1861867	COEXISTS_WITH	["21372168_fullText_1","21372168_fullText_9","17005321_fullText_1","8229032_fullText_5"]	Machado-Joseph Disease	C0024408
Autonomic manifestations	C3554198	COEXISTS_WITH	["23413156_fullText_2"]	Machado-Joseph Disease	C0024408
Deep breathing	C1328799	COEXISTS_WITH	["12528578_fullText_4"]	Subacute Bacterial Endocarditis	C0014122
Sweating	C0038990	COEXISTS_WITH	["34890517_fullText_2"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Sweating	C0038990	COEXISTS_WITH	["35340063_fullText_6"]	Adult disease	C0277562
Does climb	C0561942	COEXISTS_WITH	["34233602_fullText_5"]	Migraine Disorders	C0149931
