"source","source_type","target","target_type"
"EFO_0000713","disease","ENSG00000094755","gene"
"EFO_0000713","disease","ENSG00000096968","gene"
"EFO_0000713","disease","ENSG00000132639","gene"
"EFO_0000713","disease","ENSG00000159640","gene"
"EFO_0000713","disease","ENSG00000169427","gene"
"EFO_0000713","disease","ENSG00000171303","gene"
"EFO_0000713","disease","ENSG00000196839","gene"
"EFO_0000713","disease","ENSG00000198400","gene"
"EFO_0000713","disease","ENSG00000151623","gene"
"EFO_0000713","disease","ENSG00000160013","gene"
"EFO_0000713","disease","ENSG00000198793","gene"
"EFO_0000713","disease","ENSG00000081248","gene"
"EFO_0000713","disease","ENSG00000117601","gene"
"EFO_0000713","disease","ENSG00000136244","gene"
"EFO_0000713","disease","ENSG00000145888","gene"
"EFO_0000713","disease","ENSG00000161509","gene"
"EFO_0000713","disease","ENSG00000196262","gene"
"HP_0009816","disease","ENSG00000068078","gene"
"HP_0010865","disease","ENSG00000102468","gene"
"HP_0010865","disease","ENSG00000139287","gene"
"HP_0010865","disease","ENSG00000147246","gene"
"HP_0010865","disease","ENSG00000149295","gene"
"HP_0010865","disease","ENSG00000103546","gene"
"HP_0010865","disease","ENSG00000112294","gene"
"HP_0012042","disease","ENSG00000077238","gene"
"MONDO_0008597","disease","ENSG00000164692","gene"
"MONDO_0008597","disease","ENSG00000197122","gene"
"MONDO_0008597","disease","ENSG00000120659","gene"
"MONDO_0008597","disease","ENSG00000108821","gene"
"MONDO_0008597","disease","ENSG00000068078","gene"
"MONDO_0008597","disease","ENSG00000139219","gene"
"MONDO_0008597","disease","ENSG00000000938","gene"
"MONDO_0044784","disease","ENSG00000232810","gene"
"MONDO_0044784","disease","ENSG00000177455","gene"
"MONDO_0044784","disease","ENSG00000113721","gene"
"MONDO_0044784","disease","ENSG00000025708","gene"
"MONDO_0044784","disease","ENSG00000136244","gene"
"MONDO_0054781","disease","ENSG00000006071","gene"
"MONDO_0054781","disease","ENSG00000171105","gene"
"MONDO_0054781","disease","ENSG00000069431","gene"
"MONDO_0054781","disease","ENSG00000081052","gene"
"MONDO_0054781","disease","ENSG00000157388","gene"
"MONDO_0054781","disease","ENSG00000068078","gene"
"MONDO_0054781","disease","ENSG00000198216","gene"
"MONDO_0054781","disease","ENSG00000140675","gene"
"MONDO_0054781","disease","ENSG00000150594","gene"
"MONDO_0054781","disease","ENSG00000158445","gene"
"MONDO_0054781","disease","ENSG00000169031","gene"
"MONDO_0054781","disease","ENSG00000116678","gene"
"MONDO_0054781","disease","ENSG00000126895","gene"
"MONDO_0054781","disease","ENSG00000133019","gene"
"MONDO_0054781","disease","ENSG00000162009","gene"
"HP_0002571","disease","ENSG00000112115","gene"
"HP_0002571","disease","ENSG00000168539","gene"
"HP_0002571","disease","ENSG00000232810","gene"
"HP_0002571","disease","ENSG00000164116","gene"
"HP_0002571","disease","ENSG00000112038","gene"
"HP_0002571","disease","ENSG00000157404","gene"
"HP_0002571","disease","ENSG00000087085","gene"
"HP_0002571","disease","ENSG00000110944","gene"
"HP_0002571","disease","ENSG00000010610","gene"
"HP_0002571","disease","ENSG00000188778","gene"
"HP_0002571","disease","ENSG00000113580","gene"
"HP_0002571","disease","ENSG00000132639","gene"
"HP_0002571","disease","ENSG00000133019","gene"
"HP_0002571","disease","ENSG00000181072","gene"
"HP_0002571","disease","ENSG00000136244","gene"
"HP_0004308","disease","ENSG00000232810","gene"
"HP_0004308","disease","ENSG00000163485","gene"
"HP_0004308","disease","ENSG00000183873","gene"
"HP_0004308","disease","ENSG00000112038","gene"
"HP_0004308","disease","ENSG00000151067","gene"
"HP_0004308","disease","ENSG00000157388","gene"
"HP_0004308","disease","ENSG00000055118","gene"
"HP_0004308","disease","ENSG00000053918","gene"
"HP_0004308","disease","ENSG00000196549","gene"
"HP_0004308","disease","ENSG00000138622","gene"
"HP_0004308","disease","ENSG00000123700","gene"
"HP_0004308","disease","ENSG00000102001","gene"
"HP_0004308","disease","ENSG00000043591","gene"
"HP_0004308","disease","ENSG00000160868","gene"
"HP_0004308","disease","ENSG00000159640","gene"
"HP_0004308","disease","ENSG00000177301","gene"
"HP_0004308","disease","ENSG00000151623","gene"
"HP_0004308","disease","ENSG00000081248","gene"
"HP_0012390","disease","ENSG00000123201","gene"
"HP_0012390","disease","ENSG00000151067","gene"
"HP_0012390","disease","ENSG00000157388","gene"
"HP_0012390","disease","ENSG00000061918","gene"
"HP_0012390","disease","ENSG00000102001","gene"
"HP_0012390","disease","ENSG00000132639","gene"
"HP_0012390","disease","ENSG00000081248","gene"
"HP_0012410","disease","ENSG00000187266","gene"
"HP_0012410","disease","ENSG00000134460","gene"
"HP_0012410","disease","ENSG00000119535","gene"
"HP_0012410","disease","ENSG00000113580","gene"
"HP_0100727","disease","ENSG00000106628","gene"
"HP_0100727","disease","ENSG00000232810","gene"
"HP_0100727","disease","ENSG00000100479","gene"
"HP_0100727","disease","ENSG00000146143","gene"
