"source","source_type","target","target_type"
"HP_0002919","disease","EFO_0000651","therapeutic_area"
"HP_0005230","disease","EFO_0000651","therapeutic_area"
"HP_0005709","disease","EFO_0000651","therapeutic_area"
"MONDO_0010589","disease","EFO_0009690","therapeutic_area"
"MONDO_0010589","disease","EFO_0000319","therapeutic_area"
"MONDO_0010589","disease","EFO_0000618","therapeutic_area"
"MONDO_0010589","disease","OTAR_0000018","therapeutic_area"
"MONDO_0010589","disease","EFO_0005803","therapeutic_area"
"MONDO_0010589","disease","MONDO_0002025","therapeutic_area"
"MONDO_0010589","disease","EFO_0010285","therapeutic_area"
"MONDO_0010589","disease","MONDO_0024458","therapeutic_area"
"MONDO_0010589","disease","EFO_0000540","therapeutic_area"
"MONDO_0014931","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030033","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030910","disease","EFO_0000618","therapeutic_area"
"MONDO_0030910","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030910","disease","MONDO_0002025","therapeutic_area"
"MONDO_0032917","disease","EFO_0000618","therapeutic_area"
"MONDO_0032917","disease","OTAR_0000018","therapeutic_area"
"EFO_0000332","disease","MONDO_0045024","therapeutic_area"
"EFO_0000332","disease","OTAR_0000006","therapeutic_area"
"EFO_0000580","disease","OTAR_0000017","therapeutic_area"
"EFO_0000580","disease","OTAR_0000010","therapeutic_area"
"EFO_0000580","disease","MONDO_0045024","therapeutic_area"
"EFO_0000580","disease","EFO_0010285","therapeutic_area"
"HP_0000800","disease","EFO_0000651","therapeutic_area"
"HP_0002033","disease","EFO_0000651","therapeutic_area"
"HP_0002036","disease","EFO_0000651","therapeutic_area"
"HP_0002251","disease","EFO_0000651","therapeutic_area"
"HP_0003040","disease","EFO_0000651","therapeutic_area"
"HP_0003565","disease","EFO_0000651","therapeutic_area"
"HP_0032547","disease","EFO_0000651","therapeutic_area"
"MONDO_0000070","disease","OTAR_0000018","therapeutic_area"
"MONDO_0000070","disease","EFO_0000540","therapeutic_area"
"MONDO_0002000","disease","EFO_0005741","therapeutic_area"
