"source","source_type","target","target_type"
"CHEMBL3991432","drug","ENSG00000132671","gene"
"CHEMBL3991432","drug","ENSG00000162009","gene"
"CHEMBL423","drug","ENSG00000043591","gene"
"CHEMBL705","drug","ENSG00000204231","gene"
"CHEMBL705","drug","ENSG00000077092","gene"
"CHEMBL705","drug","ENSG00000131759","gene"
"CHEMBL705","drug","ENSG00000143171","gene"
"CHEMBL705","drug","ENSG00000172819","gene"
"CHEMBL705","drug","ENSG00000186350","gene"
"CHEMBL1094","drug","ENSG00000273079","gene"
"CHEMBL1094","drug","ENSG00000198785","gene"
"CHEMBL1094","drug","ENSG00000176884","gene"
"CHEMBL1094","drug","ENSG00000183454","gene"
"CHEMBL1094","drug","ENSG00000105464","gene"
"CHEMBL1094","drug","ENSG00000116032","gene"
"CHEMBL1094","drug","ENSG00000161509","gene"
"CHEMBL1201748","drug","ENSG00000101162","gene"
"CHEMBL1201748","drug","ENSG00000261456","gene"
"CHEMBL1201748","drug","ENSG00000104833","gene"
"CHEMBL1201748","drug","ENSG00000137267","gene"
"CHEMBL1201748","drug","ENSG00000188229","gene"
"CHEMBL1201748","drug","ENSG00000196230","gene"
"CHEMBL1201748","drug","ENSG00000137285","gene"
"CHEMBL1201748","drug","ENSG00000258947","gene"
"CHEMBL1201748","drug","ENSG00000176014","gene"
"CHEMBL1493","drug","ENSG00000113448","gene"
"CHEMBL1493","drug","ENSG00000205268","gene"
"CHEMBL1493","drug","ENSG00000065989","gene"
"CHEMBL1493","drug","ENSG00000073417","gene"
"CHEMBL1493","drug","ENSG00000184588","gene"
"CHEMBL1493","drug","ENSG00000171408","gene"
"CHEMBL1493","drug","ENSG00000105650","gene"
"CHEMBL1493","drug","ENSG00000113231","gene"
"CHEMBL1508","drug","ENSG00000108576","gene"
"CHEMBL15770","drug","ENSG00000073756","gene"
"CHEMBL15770","drug","ENSG00000095303","gene"
"CHEMBL159226","drug","ENSG00000120907","gene"
"CHEMBL159226","drug","ENSG00000170214","gene"
"CHEMBL159226","drug","ENSG00000184160","gene"
"CHEMBL159226","drug","ENSG00000171873","gene"
"CHEMBL159226","drug","ENSG00000150594","gene"
"CHEMBL159226","drug","ENSG00000274286","gene"
"CHEMBL2105581","drug","ENSG00000149295","gene"
"CHEMBL237500","drug","ENSG00000197635","gene"
"CHEMBL33986","drug","ENSG00000112038","gene"
"CHEMBL33986","drug","ENSG00000082556","gene"
"CHEMBL460","drug","ENSG00000102468","gene"
"CHEMBL460","drug","ENSG00000149295","gene"
"CHEMBL956","drug","ENSG00000073756","gene"
"CHEMBL956","drug","ENSG00000095303","gene"
"CHEMBL11","drug","ENSG00000103546","gene"
"CHEMBL11","drug","ENSG00000108576","gene"
"CHEMBL1201262","drug","ENSG00000120907","gene"
"CHEMBL1201262","drug","ENSG00000170214","gene"
"CHEMBL1201262","drug","ENSG00000184160","gene"
"CHEMBL1201262","drug","ENSG00000171873","gene"
"CHEMBL1201262","drug","ENSG00000150594","gene"
"CHEMBL1201262","drug","ENSG00000274286","gene"
"CHEMBL1201262","drug","ENSG00000188778","gene"
"CHEMBL1201262","drug","ENSG00000043591","gene"
"CHEMBL1201262","drug","ENSG00000169252","gene"
"CHEMBL1201513","drug","ENSG00000117601","gene"
"CHEMBL1201828","drug","ENSG00000106804","gene"
"CHEMBL1743048","drug","ENSG00000156738","gene"
"CHEMBL1946170","drug","ENSG00000102755","gene"
"CHEMBL1946170","drug","ENSG00000077782","gene"
"CHEMBL1946170","drug","ENSG00000113721","gene"
"CHEMBL1946170","drug","ENSG00000165731","gene"
"CHEMBL1946170","drug","ENSG00000066468","gene"
"CHEMBL1946170","drug","ENSG00000157404","gene"
"CHEMBL1946170","drug","ENSG00000185386","gene"
"CHEMBL1946170","drug","ENSG00000097007","gene"
"CHEMBL1946170","drug","ENSG00000134853","gene"
"CHEMBL1946170","drug","ENSG00000111816","gene"
"CHEMBL1946170","drug","ENSG00000128052","gene"
"CHEMBL1946170","drug","ENSG00000120156","gene"
"CHEMBL1946170","drug","ENSG00000132155","gene"
"CHEMBL1946170","drug","ENSG00000037280","gene"
"CHEMBL1946170","drug","ENSG00000162733","gene"
"CHEMBL1946170","drug","ENSG00000157764","gene"
"CHEMBL198362","drug","ENSG00000126218","gene"
"CHEMBL2108027","drug","ENSG00000112164","gene"
"CHEMBL3707226","drug","ENSG00000122194","gene"
